time,prices,market_caps,total_volumes
2020-10-06,3.4622277243569464,0.0,108071755.31830867
2020-10-07,3.4622277243569464,0.0,108071755.31830867
2020-10-08,2.7274020575127946,0.0,17690896.14394026
2020-10-09,2.7007018333128374,10016190.88238544,8192403.626134589
2020-10-10,2.7746359908711318,10231192.544055441,5650735.569942634
2020-10-11,2.5160235573159686,9186500.508388096,4249687.825464921
2020-10-12,2.458602784171856,9096830.301435867,3574496.7447395194
2020-10-13,2.3825833607426343,8803507.522232696,3701975.269562302
2020-10-14,2.7207228601075215,10066674.582397832,8442468.048076097
2020-10-15,2.6061770458464038,9843115.505549753,12922961.169294156
2020-10-16,2.748186058386971,10221438.381566094,4953955.390916954
2020-10-17,3.122459199017187,11624517.414096503,6803863.434253147
2020-10-18,4.258302109265213,15480529.457825942,34396646.63940651
2020-10-19,3.5599786914343774,13170497.541207643,16962802.076858327
2020-10-20,3.275140202477833,12117975.42239289,7619093.506648181
2020-10-21,2.874031055402558,10620649.751522508,7102136.098596394
2020-10-22,3.8785725638758453,14290931.843257211,16902575.32719565
2020-10-23,3.3673155029991495,12464196.076907236,8585847.10513846
2020-10-24,3.1723983633891977,11755467.451688223,4682581.120415973
2020-10-25,3.5397199881836334,13190053.207480963,4020249.741142343
2020-10-26,3.58704996906587,13271892.492084635,5371797.465034428
2020-10-27,3.2472498844384283,11937805.464402134,14514576.133133255
2020-10-28,3.0696347485153286,11342774.142784866,5372111.7470147265
2020-10-29,2.8953738615077125,10665166.513764499,3531373.2057149257
2020-10-30,2.94619445871618,10872458.303698001,9088100.41026079
2020-10-31,2.8265193047175483,10453594.518893836,3383535.085887663
2020-11-01,2.6516654019403867,9808756.644820064,2073388.0592467834
2020-11-02,2.653756833848153,9817067.95350307,1439355.1515403022
2020-11-03,2.4270597885807055,8910268.244360086,7096686.235560631
2020-11-04,2.2420728326165906,8307894.816314332,3116229.071274334
2020-11-05,2.1632803193122108,7979179.8099381365,1423596.6071979748
2020-11-06,2.4229966958375995,8952935.053863045,3505204.756081042
