time,prices,market_caps,total_volumes
2014-08-26 00:00:00.000,0.57203,47170.0,42.0
2014-08-27 00:00:00.000,0.513902,42965.0,79.0
2014-08-28 00:00:00.000,0.373037,31539.0,99.0
2014-08-29 00:00:00.000,0.400404,33967.0,17.0
2014-08-30 00:00:00.000,0.451018,38373.0,74.0
2014-08-31 00:00:00.000,0.571251,48784.0,66.0
2014-09-01 00:00:00.000,0.542535,47010.0,38.0
2014-09-02 00:00:00.000,0.539483,47170.0,40.0
2014-09-03 00:00:00.000,0.545459,47899.0,115.0
2014-09-04 00:00:00.000,0.542173,47774.0,26.0
2014-09-05 00:00:00.000,0.414464,36667.0,137.0
2014-09-06 00:00:00.000,0.499302,44684.0,190.0
2014-09-07 00:00:00.000,0.484493,43869.0,31.0
2014-09-08 00:00:00.000,0.47631,43250.0,29.0
2014-09-09 00:00:00.000,0.446048,40770.0,13.0
2014-09-10 00:00:00.000,0.448299,41221.0,49.0
2014-09-11 00:00:00.000,0.432941,39974.0,3.0
2014-09-12 00:00:00.000,0.378496,35338.0,24.0
2014-09-13 00:00:00.000,0.466965,43680.0,77.0
2014-09-14 00:00:00.000,0.363046,34437.0,15.0
2014-09-15 00:00:00.000,0.406089,38597.0,11.0
2014-09-16 00:00:00.000,0.332932,31836.0,66.0
2014-09-17 00:00:00.000,0.321674,30829.0,23.0
2014-09-18 00:00:00.000,0.299554,29277.0,4.0
2014-09-19 00:00:00.000,0.229308,22546.0,26.0
2014-09-20 00:00:00.000,0.282051,27836.0,11.0
2014-09-21 00:00:00.000,0.276689,27365.0,6.0
2014-09-22 00:00:00.000,0.262259,25990.0,67.0
2014-09-23 00:00:00.000,0.310769,30959.0,10.0
2014-09-24 00:00:00.000,0.315128,31678.0,6.0
2014-09-25 00:00:00.000,0.295479,29893.0,14.0
2014-09-26 00:00:00.000,0.29246,29629.0,58.0
2014-09-27 00:00:00.000,0.278868,28300.0,16.0
2014-09-29 00:00:00.000,0.26452,27062.0,1.0
2014-09-30 00:00:00.000,0.260487,27127.0,3.0
2014-10-01 00:00:00.000,0.265987,27737.0,7.0
2014-10-02 00:00:00.000,0.357232,37301.0,27.0
2014-10-03 00:00:00.000,0.292667,30808.0,75.0
2014-10-04 00:00:00.000,0.252497,26757.0,28.0
2014-10-05 00:00:00.000,0.233087,24957.0,3.0
2014-10-06 00:00:00.000,0.308333,33084.0,55.0
2014-10-07 00:00:00.000,0.202921,21934.0,130.0
2014-10-08 00:00:00.000,0.247534,26972.0,12.0
2014-10-09 00:00:00.000,0.260143,28593.0,16.0
2014-10-10 00:00:00.000,0.296338,32812.0,70.0
2014-10-11 00:00:00.000,0.180313,19992.0,170.0
2014-10-12 00:00:00.000,0.218989,24319.0,32.0
2014-10-13 00:00:00.000,0.21715,24146.0,17.0
2014-10-14 00:00:00.000,0.133091,15039.0,326.0
2014-10-15 00:00:00.000,0.135298,15441.0,1.0
2014-10-16 00:00:00.000,0.183492,21214.0,51.0
2014-10-17 00:00:00.000,0.200171,23556.0,242.0
2014-10-18 00:00:00.000,0.14146,16710.0,217.0
2014-10-19 00:00:00.000,0.119508,14381.0,65.0
2014-10-20 00:00:00.000,0.191502,23257.0,21.0
2014-10-21 00:00:00.000,0.153004,18865.0,142.0
2014-10-22 00:00:00.000,0.100091,12779.0,265.0
2014-10-23 00:00:00.000,0.075735,9823.0,143.0
2014-10-24 00:00:00.000,0.0717162,9598.0,54.0
2014-10-25 00:00:00.000,0.117867,15971.0,799.0
2014-10-26 00:00:00.000,0.120166,16437.0,17.0
2014-10-27 00:00:00.000,0.127084,17683.0,125.0
2014-10-28 00:00:00.000,0.0891104,12526.0,54.0
2014-10-29 00:00:00.000,0.0503286,7163.0,42.0
2014-10-30 00:00:00.000,0.0931766,13443.0,15.0
2014-10-31 00:00:00.000,0.0914845,13373.0,1.0
2014-11-02 00:00:00.000,0.0755522,11319.0,47.0
2014-11-03 00:00:00.000,0.130519,19823.0,159.0
2014-11-04 00:00:00.000,0.130398,20117.0,6.0
2014-11-05 00:00:00.000,0.0838925,13139.0,24.0
2014-11-06 00:00:00.000,0.125599,20002.0,9.0
2014-11-07 00:00:00.000,0.0837526,13544.0,88.0
2014-11-08 00:00:00.000,0.086019,14258.0,3.0
2014-11-09 00:00:00.000,0.0691811,11677.0,1.0
2014-11-10 00:00:00.000,0.0720461,12401.0,2.0
2014-11-11 00:00:00.000,0.0772019,13596.0,0.0
2014-11-12 00:00:00.000,0.0792416,14237.0,1.0
2014-11-13 00:00:00.000,0.173665,31460.0,151.0
2014-11-14 00:00:00.000,0.147705,26974.0,25.0
2014-11-15 00:00:00.000,0.117246,21583.0,16.0
2014-11-16 00:00:00.000,0.113733,21104.0,15.0
2014-11-17 00:00:00.000,0.200688,37543.0,115.0
2014-11-18 00:00:00.000,0.120774,22778.0,196.0
2014-11-19 00:00:00.000,0.0592581,11266.0,391.0
2014-11-20 00:00:00.000,0.19309,36992.0,2086.0
2014-11-21 00:00:00.000,0.229339,44286.0,656.0
