date,prices,market_caps,total_volumes
2015-08-04,0.00941853,74889.0,610.0
2015-08-05,0.00846604,67344.0,711.0
2015-08-06,0.00891923,70978.0,685.0
2015-08-07,0.0237432,189282.0,5101.0
2015-08-08,0.0206896,165290.0,4012.0
2015-08-09,0.0170533,136495.0,2335.0
2015-08-10,0.0177184,142052.0,1116.0
2015-08-11,0.0164102,131720.0,2215.0
2015-08-12,0.0175644,140984.0,4851.0
2015-08-13,0.0161804,129875.0,2047.0
2015-08-14,0.0110193,88448.0,2169.0
2015-08-15,0.013163,105655.0,2654.0
2015-08-16,0.0125376,100635.0,839.0
2015-08-17,0.0098119,78757.0,1164.0
2015-08-18,0.00914255,73384.0,326.0
2015-08-19,0.00956026,76737.0,244.0
2015-08-20,0.00955117,76664.0,9.0
2015-08-21,0.00884378,70986.0,269.0
2015-08-22,0.00668335,53645.0,603.0
2015-08-23,0.00630586,50615.0,185.0
2015-08-24,0.00866295,69535.0,2396.0
2015-08-25,0.00691061,55469.0,966.0
2015-08-26,0.00911269,73145.0,532.0
2015-08-27,0.00751796,60344.0,143.0
2015-08-28,0.00771814,61951.0,389.0
2015-08-29,0.00793096,63659.0,313.0
2015-08-30,0.00647537,51975.0,138.0
2015-08-31,0.0066053,53018.0,72.0
2015-09-01,0.006744,54132.0,39.0
2015-09-02,0.0073238,58786.0,210.0
2015-09-03,0.00593898,47670.0,29.0
2015-09-04,0.00667034,53540.0,145.0
2015-09-05,0.00632264,50750.0,502.0
2015-09-06,0.00624343,50114.0,216.0
2015-09-07,0.00600315,48185.0,230.0
2015-09-08,0.00606905,48714.0,229.0
2015-09-09,0.00637048,51134.0,239.0
2015-09-10,0.00597244,47939.0,137.0
2015-09-11,0.00623303,50030.0,311.0
2015-09-12,0.00657524,52777.0,288.0
2015-09-13,0.00461516,37044.0,170.0
2015-09-14,0.00509502,40896.0,98.0
2015-09-15,0.00616034,49447.0,733.0
2015-09-16,0.00368469,29575.0,162.0
2015-09-17,0.00526725,42278.0,214.0
2015-09-18,0.00531868,42691.0,138.0
2015-09-19,0.00552686,44362.0,73.0
2015-09-20,0.0042545,34149.0,241.0
2015-09-21,0.00475589,38174.0,73.0
2015-09-22,0.00423334,33979.0,284.0
2015-09-23,0.00448898,36031.0,59.0
2015-09-24,0.00423867,34022.0,400.0
2015-09-25,0.00443609,35607.0,118.0
2015-09-26,0.00351936,28248.0,431.0
2015-09-27,0.00349437,28048.0,144.0
2015-09-28,0.00316078,25370.0,132.0
2015-09-29,0.00248996,19986.0,180.0
2015-09-30,0.00247921,19899.0,366.0
2015-10-01,0.0028943,23231.0,384.0
2015-10-02,0.00310714,24940.0,230.0
2015-10-03,0.00370242,29718.0,196.0
2015-10-04,0.00547957,43982.0,344.0
2015-10-05,0.00513013,41178.0,434.0
2015-10-06,0.00370427,29733.0,425.0
2015-10-07,0.00390113,31313.0,355.0
2015-10-08,0.00436139,35007.0,58.0
2015-10-09,0.00369846,29686.0,185.0
2015-10-11,0.00376658,30233.0,41.0
2015-10-12,0.00467581,37531.0,194.0
2015-10-13,0.00491381,39441.0,172.0
2015-10-14,0.00469795,37709.0,141.0
2015-10-15,0.00479003,38448.0,95.0
2015-10-16,0.00559451,44905.0,983.0
2015-10-17,0.00552031,44309.0,45.0
2015-10-18,0.00732024,58757.0,614.0
2015-10-19,0.00707983,56827.0,859.0
2015-10-20,0.00713069,57236.0,767.0
2015-10-21,0.00773747,62106.0,255.0
2015-10-22,0.00772946,62042.0,457.0
2015-10-23,0.00848553,68110.0,163.0
2015-10-24,0.00858381,68899.0,597.0
2015-10-25,0.0113405,91027.0,2029.0
2015-10-26,0.0100552,80710.0,995.0
2015-10-27,0.00974696,78236.0,502.0
2015-10-28,0.0106504,85487.0,523.0
2015-10-29,0.0119356,95803.0,710.0
2015-10-30,0.0122763,98538.0,251.0
2015-10-31,0.0199453,160095.0,1011.0
2015-11-01,0.0152234,122193.0,1970.0
2015-11-02,0.0298185,239344.0,3543.0
2015-11-03,0.0301418,241939.0,2739.0
2015-11-04,0.0254665,204412.0,4822.0
2015-11-05,0.0182206,146251.0,2100.0
2015-11-06,0.0147494,118389.0,581.0
2015-11-07,0.0147554,118437.0,466.0
2015-11-08,0.0151064,121254.0,1279.0
2015-11-09,0.0146625,117691.0,1393.0
2015-11-10,0.0136003,109165.0,653.0
2015-11-11,0.00967705,77674.0,721.0
2015-11-12,0.0115405,92632.0,699.0
2015-11-13,0.0135632,108867.0,407.0
2015-11-14,0.0140449,112734.0,132.0
2015-11-15,0.0126833,101805.0,3.0
2015-11-16,0.0147265,118205.0,1954.0
2015-11-17,0.0148562,119246.0,215.0
2015-11-18,0.0133656,107281.0,328.0
2015-11-19,0.0130585,104816.0,110.0
2015-11-20,0.0101083,81136.0,139.0
2015-11-21,0.0112584,90368.0,660.0
2015-11-22,0.0107794,86523.0,284.0
2015-11-23,0.0114988,92297.0,14.0
2015-11-24,0.0124791,100166.0,366.0
2015-11-25,0.0109903,88216.0,6.0
2015-11-26,0.00933909,74962.0,856.0
2015-11-27,0.00873799,70137.0,265.0
2015-11-28,0.00807506,76681.0,282.0
2015-11-29,0.00784984,74647.0,79.0
2015-11-30,0.00869402,82779.0,171.0
2015-12-01,0.00770622,73454.0,80.0
2015-12-02,0.00631085,60221.0,103.0
2015-12-03,0.00614213,58689.0,83.0
2015-12-04,0.0084606,80937.0,639.0
2015-12-05,0.00838963,80351.0,84.0
2015-12-06,0.00869235,83356.0,387.0
2015-12-07,0.00854671,82062.0,70.0
2015-12-08,0.00630747,60638.0,357.0
2015-12-09,0.00711379,68478.0,133.0
2015-12-10,0.0070535,67981.0,12.0
2015-12-11,0.00796069,76817.0,87.0
2015-12-12,0.00659229,63692.0,270.0
2015-12-13,0.0102266,98923.0,432.0
2015-12-14,0.00846435,81990.0,133.0
2015-12-15,0.00953982,92502.0,10.0
2015-12-16,0.00868099,84282.0,74.0
2015-12-17,0.00956817,93016.0,4287.0
2015-12-18,0.0146602,142696.0,2257.0
2015-12-19,0.0125853,122641.0,588.0
2015-12-20,0.0124472,121465.0,720.0
2015-12-21,0.0118097,115372.0,380.0
2015-12-22,0.0115109,112578.0,62.0
2015-12-23,0.0114324,111937.0,171.0
2015-12-24,0.0132504,129898.0,169.0
2015-12-25,0.0122352,120104.0,308.0
2015-12-26,0.0121581,119497.0,192.0
2015-12-27,0.0149513,147124.0,388.0
2015-12-28,0.0145342,143188.0,509.0
2015-12-29,0.01170273032,115527.09509208825,2424.529403203726
2015-12-30,0.011523897,113909.34276414,646.6339244166002
2015-12-31,0.014400444,142544.062173072,435.4233310544137
2016-01-01,0.01500510858,148706.37298438614,3000.435050176871
2016-01-02,0.013898432,137919.227562112,809.7665514305677
2016-01-03,0.01380505382,137143.76704488712,160.61834358882277
2016-01-04,0.01256815066,124990.98726643829,713.7387277441549
2016-01-05,0.01257022535,125151.36337403626,357.2008819035782
2016-01-06,0.01293597657,128931.85653104098,91.02677837258211
2016-01-07,0.01327766506,132337.43871748025,162.6226060622819
2016-01-08,0.0122768001,122661.2787767307,203.62578357108407
2016-01-09,0.010769016,107724.965459712,484.2249588793084
2016-01-10,0.00729394617,73044.2757064629,1029.212126078022
2016-01-11,0.00920908846,92327.71472792584,132.4501293332891
2016-01-12,0.00926801568,93016.39114085471,167.54854095172345
2016-01-13,0.0086380788,86778.92568997081,63.085308635349655
2016-01-14,0.0096010618,96574.5747690702,340.6093851454212
2016-01-15,0.01280692,128824.7442454,509.7471224103521
2016-01-16,0.009620325,96993.357671925,89.12950386038737
2016-01-17,0.00984048732,99213.06258310429,83.57396118246862
2016-01-18,0.01154240604,116621.01944875404,59.23161814271306
2016-01-19,0.00980511805,99177.7493434728,77.25871157210149
2016-01-20,0.0108897864,110267.3526478776,55.14940287670283
2016-01-21,0.00950616765,96369.32590959869,139.22258813594988
2016-01-22,0.0086946905,88232.7193045925,29.682271891401136
2016-01-23,0.00898122505,91155.79686135476,30.66045465930763
2016-01-24,0.009371052,95314.694165568,188.30974117180452
2016-01-25,0.00868609764,88432.57810429811,23.138576494099635
2016-01-26,0.0078883656,80374.80163773362,71.40419680329322
2016-01-27,0.00802789185,81796.43892429736,75.16540122195273
2016-01-28,0.00756067584,77228.09240915712,135.86189520547316
2016-01-29,0.0075820291199999,77529.72032133695,73.33596576879468
2016-01-30,0.0088953356,91058.4104837332,101.4858435847928
2016-01-31,0.01395832512,143044.12020522816,2466.015122429043
2016-02-01,0.01114340323,114328.95473831524,445.00826674911
2016-02-02,0.01112638112,114270.30402157856,475.2061535063405
2016-02-03,0.01098482016,112928.41108178496,58.25406052329283
2016-02-04,0.01041236056,107166.4617882516,137.86847513763243
2016-02-05,0.012729189,131150.692728594,95.48312143199202
2016-02-06,0.0123643669,127531.5947142374,304.5703265584443
2016-02-07,0.011641027,120213.288751657,256.00949274729595
2016-02-08,0.0118392384,122370.1076391552,1634.0302852902273
2016-02-09,0.01223804157,126635.90094296982,751.9403773118014
2016-02-10,0.01072637096,111108.80252440216,227.2126704351568
2016-02-11,0.01130796942,117243.4581599853,441.95159338981847
2016-02-12,0.0114816,119162.4859776,1496.5630095846543
2016-02-13,0.01108413736,115163.86573041655,202.00479546902963
2016-02-14,0.011720176,121922.377328752,127.76285778289623
2016-02-15,0.01324340764,137895.75041458948,478.4827032128572
2016-02-16,0.0120068835,125166.165279789,560.5600375077431
2016-02-17,0.013789398,143883.846282036,484.972783550675
2016-02-18,0.01299665448,135707.7519332676,204.15697873760823
2016-02-19,0.01239259035,129520.910191218,759.6160958413159
2016-02-20,0.013740888,143752.512094968,54.912582662102864
2016-02-21,0.017054712,178624.623861576,583.9392357475309
2016-02-22,0.01462699823,153354.5688927005,1104.9443810471914
2016-02-23,0.013869966,145580.078553756,439.3689149992354
2016-02-24,0.01399902596,147075.57261010885,224.45829944949887
2016-02-25,0.01418371984,149155.52977468527,1122.3849427540274
2016-02-26,0.01281087,134873.97952743,132.8721082254308
2016-02-27,0.01338766622,141093.18996222745,136.85173324041796
2016-02-28,0.01387547182,146383.09184436867,1974.485290931883
2016-02-29,0.01639757007,173166.39114610438,435.9277239296423
2016-03-01,0.01580111973,167011.05686573582,416.5390178559249
2016-03-02,0.0140589432,148771.7369424,70.0404807175366
2016-03-03,0.0144958995,153552.077248203,100.88210777115104
2016-03-04,0.018013952,190983.666908672,583.6959176111251
2016-03-05,0.01900003703,201686.87507633836,879.9185269525052
2016-03-06,0.0161559888,171691.4539803792,1580.4489131799714
2016-03-07,0.0161896462,172221.4250536962,844.0783423646986
2016-03-08,0.01830381388,194887.9729944704,172.7871793180526
2016-03-09,0.01603096272,170825.7784346928,189.99454924498667
2016-03-10,0.0161937588,172757.6422673256,78.7506853457181
2016-03-11,0.018868455,201483.66455397,679.0996074184925
2016-03-12,0.01637041985,174959.10770317275,89.40094874544884
2016-03-13,0.0160378056,171583.0452983016,89.4807688705752
2016-03-14,0.0140544315,150502.2591874005,269.62939178564903
2016-03-15,0.01651757334,177076.69454419002,102.31886342588793
2016-03-16,0.01529966112,164185.88066316192,61.385465172126175
2016-03-17,0.016100032,172935.000021056,330.6032301876719
2016-03-18,0.015167602,163068.754717046,244.01486635321848
2016-03-19,0.020743689,223274.094984519,1150.560703768855
2016-03-20,0.01894245318,204085.1192084737,320.91654118536195
2016-03-21,0.0164025309,176896.1781668592,145.64663288916515
2016-03-22,0.0176994636,191053.2845385528,152.63825614420517
2016-03-23,0.01879669696,203078.6681044768,1109.7162867173352
2016-03-24,0.0175909556,190304.4636499028,141.75776619928652
2016-03-25,0.01674197061,181304.87707102144,413.28838514894886
2016-03-26,0.01873967355,203142.7836797346,332.0940120393305
2016-03-27,0.01912369104,207514.07827607807,463.2692091575338
2016-03-28,0.01533731528,166572.76841358887,408.8705570788618
2016-03-29,0.015375239,167118.485018914,212.6547515391265
2016-03-30,0.01451928843,157959.15740282708,114.63265672001678
2016-03-31,0.01413490498,153925.3694823803,367.2731409473722
2016-04-01,0.01455721722,158667.5536667676,80.82032814910652
2016-04-02,0.01384911,151094.05323309,126.73023965524229
2016-04-03,0.013800105,150646.6382157,197.48062499023425
2016-04-04,0.014680295,160462.803014255,132.00523843929724
2016-04-05,0.013947483,152564.319635772,285.6752598150936
2016-04-06,0.0085174512,93266.4483729504,1202.2372609305107
2016-04-07,0.01284702876,140821.47243797904,978.891870380006
2016-04-08,0.01314426834,144189.15360295825,372.5739143110128
2016-04-09,0.01307111445,143417.2350078693,191.0452286089788
2016-04-10,0.01355627127,149004.05390217295,248.9078484267917
2016-04-11,0.0114097679999999,125532.309884472,262.64511058709525
2016-04-12,0.01108496781,122054.10860808835,754.5551138541628
2016-04-13,0.01110311973,122370.10288058627,193.6746634473657
2016-04-14,0.0103300969199999,113954.24320214218,282.2829284072572
2016-04-15,0.00992791494,109611.96442291296,312.24104966129204
2016-04-16,0.01022622993,113000.30090684684,48.41258702420856
2016-04-17,0.01043957853,115450.83962181468,381.58782081889103
2016-04-18,0.010284144,113828.628652128,133.37883391082727
2016-04-19,0.0129252793999999,143207.06781831337,168.11493755043853
2016-04-20,0.01325748,147024.36608664,13.3684870012368
2016-04-21,0.01147104069,127326.46392959442,128.87079781572663
2016-04-22,0.01145121792,127218.69107960832,45.56435694395008
2016-04-23,0.0122894496,136654.869822624,168.22288378446103
2016-04-24,0.0120039903,133601.6871332019,28.48457988979293
2016-04-25,0.01170504572,130294.42380603704,178.84464451293726
2016-04-26,0.011813364,131707.60870374,71.66299275116103
2016-04-27,0.01122647436,125279.5728725993,185.3114784525993
2016-04-28,0.00853374519,95310.73749861072,237.07924027211968
2016-04-29,0.011642433,130155.380552901,211.6664008056074
2016-04-30,0.01129163463,126340.34967170237,118.3806801290456
2016-05-01,0.009957024,111498.50582640004,17.954298490248046
2016-05-02,0.0112455464,126049.474082444,5.2292956056130055
2016-05-03,0.0100912229999999,113207.74947845096,154.85192919841467
2016-05-04,0.01008700464,113259.36950106145,1.0580074073386958
2016-05-05,0.00943634044,106047.8114047234,399.02785535947913
2016-05-06,0.009532453,107213.862939344,192.85444148227143
2016-05-07,0.0094834712,106753.01701324398,0.3299590497076828
2016-05-08,0.00871719134,98215.60106796725,187.6599184373982
2016-05-09,0.00790510864,89141.90224319953,337.3332471788382
2016-05-10,0.0093442645,105460.18209801149,143.06666728992855
2016-05-11,0.0079583504,89905.961969824,132.3388248995003
2016-05-12,0.00901731573,101928.40060509989,142.68731749003672
2016-05-13,0.00834948817,94379.5249630571,437.7512376632156
2016-05-14,0.0079713025,90104.654078075,64.6538159640926
2016-05-15,0.00826395785,93412.7218719955,644.5730408601396
2016-05-16,0.00731922837,82733.8493799831,231.21543551032903
2016-05-17,0.00840600076,95018.32237075882,64.62608551982478
