date,prices,market_caps,total_volumes
2015-08-24,0.152221,0.0,15.0
2015-08-26,0.157623,0.0,440.0
2015-08-27,0.158192,0.0,109.0
2015-08-28,0.164478,0.0,632.0
2015-08-29,0.164763,0.0,83.0
2015-08-31,0.144693,0.0,1105.0
2015-09-01,0.14347,0.0,5.0
2015-09-02,0.145868,0.0,10.0
2015-09-03,0.142148,0.0,0.0
2015-09-04,0.150121,0.0,58.0
2015-09-06,0.155711,0.0,0.0
2015-09-09,0.160573,0.0,321.0
2015-09-10,0.124448,0.0,1556.0
2015-09-11,0.10212,0.0,1807.0
2015-09-14,0.104947,0.0,2.0
2015-09-15,0.105338,0.0,2191.0
2015-09-16,0.102689,0.0,21.0
2015-09-17,0.0736106,0.0,862.0
2015-09-18,0.0805882,0.0,79.0
2015-09-19,0.0880923,0.0,52.0
2015-09-20,0.102388,0.0,738.0
2015-09-21,0.105019,0.0,72.0
2015-09-23,0.11047,0.0,5.0
2015-09-24,0.116207,0.0,23.0
2015-09-27,0.119398,0.0,11.0
2015-09-28,0.125046,0.0,12.0
2015-09-30,0.119269,0.0,1469.0
2015-10-01,0.120975,0.0,12.0
2015-10-06,0.125092,0.0,0.0
2015-10-10,0.127088,0.0,270.0
2015-10-11,0.129523,0.0,12.0
2015-10-14,0.125788,0.0,359.0
2015-10-15,0.128749,0.0,10.0
2015-10-16,0.11577,0.0,181.0
2015-10-17,0.111794,0.0,6.0
2015-10-19,0.102538,0.0,29.0
2015-10-20,0.0968881,0.0,214.0
2015-10-24,0.0927573,0.0,1.0
2015-10-27,0.0947277,0.0,18.0
2015-11-24,0.203723,0.0,21.0
2015-11-26,0.111127,0.0,65.0
2015-11-27,0.193528,0.0,268.0
2015-11-29,0.12717,0.0,255.0
2015-12-01,0.129712,0.0,7.0
2015-12-03,0.0910717,0.0,486.0
2015-12-04,0.0923227,0.0,222.0
2015-12-05,0.0968568,0.0,305.0
2015-12-06,0.103077,0.0,130.0
2015-12-08,0.153818,0.0,726.0
2015-12-09,0.160914,0.0,221.0
2015-12-10,0.124789,0.0,147.0
2015-12-11,0.132413,0.0,331.0
2015-12-18,0.214615,0.0,2122.0
2015-12-19,0.139075,0.0,665.0
2015-12-20,0.138233,0.0,6.0
2015-12-22,0.131124,0.0,588.0
2015-12-23,0.132835,0.0,33.0
2015-12-25,0.159881,0.0,1.0
2015-12-27,0.145514,0.0,0.0
2015-12-28,0.137574,0.0,527.0
2015-12-29,0.116604,0.0,13.0
2016-01-01,0.117339,0.0,1.0
2016-01-02,0.131279,0.0,117.0
2016-01-08,0.133054,0.0,0.0
2016-01-10,0.15717,0.0,15.0
2016-01-11,0.155493,0.0,280.0
2016-01-13,0.0933252,0.0,4.0
2016-01-14,0.128832,0.0,4.0
2016-01-15,0.150453,0.0,157.0
2016-01-16,0.132318,0.0,0.0
2016-01-18,0.141846,0.0,22.0
2016-01-20,0.140904,0.0,58.0
