date,prices,market_caps,total_volumes
2014-07-12,0.00247351,2492.0,63.0
2014-07-13,0.00381191,3873.0,76.0
2014-07-14,0.00415573,4265.0,102.0
2014-07-15,0.00372098,3857.0,135.0
2014-07-16,0.00220949,2313.0,135.0
2014-07-17,0.00115293,1219.0,121.0
2014-07-18,0.00461645,4901.0,2185.0
2014-07-19,0.0025906,2792.0,171.0
2014-07-20,0.00455454,4956.0,86.0
2014-07-21,0.00396703,4358.0,465.0
2014-07-22,0.0027352,3033.0,65.0
2014-07-23,0.00823725,9221.0,537.0
2014-07-24,0.0163897,18518.0,3383.0
2014-07-25,0.0271904,31005.0,14707.0
2014-07-26,0.0178347,20521.0,3492.0
2014-07-27,0.118922,138111.0,16080.0
2014-07-28,0.0935793,109687.0,27015.0
2014-07-29,0.104387,123439.0,40854.0
2014-07-30,0.06009,71718.0,16752.0
2014-07-31,0.0705398,84899.0,10280.0
2014-08-01,0.0511986,62176.0,6299.0
2014-08-02,0.0413062,50592.0,2039.0
2014-08-03,0.0407069,50283.0,4352.0
2014-08-04,0.033104,41238.0,7641.0
2014-08-05,0.0290677,36512.0,4302.0
2014-08-06,0.0275315,34867.0,3580.0
2014-08-07,0.0273128,34868.0,1528.0
2014-08-08,0.0213558,27485.0,1097.0
2014-08-09,0.0147663,19157.0,1757.0
2014-08-10,0.0128777,16840.0,1332.0
2014-08-11,0.0120553,15888.0,503.0
2014-08-12,0.0126681,16830.0,1798.0
2014-08-13,0.0157462,21084.0,11859.0
2014-08-14,0.0156535,21124.0,1003.0
2014-08-15,0.0162339,22075.0,2238.0
2014-08-16,0.018783,25737.0,2837.0
2014-08-17,0.0152799,20990.0,543.0
2014-08-18,0.0152423,20938.0,345.0
2014-08-19,0.0145219,20349.0,603.0
2014-08-20,0.0164162,23174.0,1018.0
2014-08-21,0.0226333,32188.0,2686.0
2014-08-22,0.0201747,28901.0,1546.0
2014-08-23,0.0245107,35368.0,857.0
2014-08-24,0.0306843,44599.0,2983.0
2014-08-25,0.0542508,79414.0,6487.0
2014-08-26,0.0550018,81083.0,9003.0
2014-08-27,0.0681379,101157.0,10703.0
2014-08-28,0.0888294,132786.0,40634.0
2014-08-29,0.143351,215684.0,34808.0
2014-08-30,0.125919,190779.0,18374.0
2014-08-31,0.0953351,145436.0,28432.0
2014-09-01,0.0908117,139439.0,9728.0
2014-09-02,0.095036,146947.0,10633.0
2014-09-03,0.0805144,125316.0,7683.0
2014-09-04,0.0857707,134395.0,7573.0
2014-09-05,0.0782158,123355.0,14398.0
2014-09-06,0.0600283,95289.0,6914.0
2014-09-07,0.059087,94408.0,5568.0
2014-09-08,0.0550295,88459.0,3406.0
2014-09-09,0.053185,85968.0,4257.0
2014-09-10,0.0629575,102364.0,3061.0
2014-09-11,0.0599635,98117.0,3364.0
2014-09-12,0.0474207,78015.0,2664.0
2014-09-13,0.044534,73743.0,1986.0
2014-09-14,0.0404143,67338.0,2580.0
2014-09-15,0.0426088,71435.0,4426.0
2014-09-16,0.0427428,72099.0,1722.0
2014-09-17,0.042085,71417.0,3017.0
2014-09-18,0.0358154,60809.0,1872.0
2014-09-19,0.0301781,51802.0,1227.0
2014-09-20,0.0265481,45849.0,1603.0
2014-09-21,0.0237859,41318.0,1444.0
2014-09-22,0.0249983,43677.0,1068.0
2014-09-23,0.0254498,44697.0,1294.0
2014-09-24,0.0290338,51282.0,1962.0
2014-09-25,0.0258517,45937.0,1055.0
2014-09-26,0.0257735,46061.0,1344.0
