date,prices,market_caps,total_volumes
2014-11-01,0.079314,0.0,4008.0
2014-11-02,0.079299,0.0,4895.0
2014-11-03,0.0763064,0.0,3895.0
2014-11-04,0.079347,0.0,2609.0
2014-11-05,0.0850784,0.0,34801.0
2014-11-06,0.0876698,0.0,93768.0
2014-11-07,0.0856831,0.0,29513.0
2014-11-08,0.0852396,0.0,19445.0
2014-11-09,0.0876824,0.0,22944.0
2014-11-10,0.0869864,0.0,6406.0
2014-11-11,0.072258,0.0,14884.0
2014-11-12,0.0746896,0.0,5441.0
2014-11-13,0.0666777,0.0,5144.0
2014-11-14,0.0556874,0.0,7982.0
2014-11-15,0.0492731,0.0,1626.0
2014-11-16,0.0478951,0.0,1910.0
2014-11-17,0.0500318,0.0,2167.0
2014-11-18,0.0507013,0.0,1014.0
2014-11-19,0.0492975,0.0,373.0
2014-11-20,0.0468887,0.0,233.0
2014-11-21,0.0467445,0.0,1409.0
2014-11-22,0.0480872,0.0,432.0
2014-11-23,0.048688,0.0,794.0
2014-11-24,0.052111,0.0,998.0
2014-11-25,0.0595173,0.0,968.0
2014-11-26,0.0520425,0.0,454.0
2014-11-27,0.0513522,0.0,510.0
2014-11-28,0.0543746,0.0,2360.0
2014-11-29,0.0504009,0.0,414.0
2014-11-30,0.0528611,0.0,720.0
2014-12-01,0.0483624,0.0,1696.0
2014-12-02,0.0468876,0.0,705.0
2014-12-03,0.0465064,0.0,1287.0
2014-12-04,0.0479877,0.0,595.0
2014-12-05,0.0511851,0.0,176.0
2014-12-06,0.046106,0.0,339.0
2014-12-07,0.0465405,0.0,257.0
2014-12-08,0.041785,0.0,665.0
2014-12-09,0.0396709,0.0,442.0
2014-12-10,0.0440268,0.0,389.0
2014-12-13,0.0396567,0.0,773.0
2014-12-14,0.0408417,0.0,140.0
2014-12-15,0.0408671,0.0,342.0
2014-12-16,0.0379869,0.0,988.0
2014-12-17,0.0408324,0.0,309.0
2014-12-18,0.036247,0.0,298.0
2014-12-19,0.0391156,0.0,176.0
2014-12-20,0.0379441,0.0,464.0
2014-12-21,0.0404308,0.0,357.0
2014-12-22,0.0372586,0.0,594.0
2014-12-23,0.0366668,0.0,205.0
2014-12-24,0.0375151,0.0,913.0
2014-12-25,0.0408903,0.0,714.0
2014-12-26,0.0470709,0.0,1579.0
2014-12-27,0.0406656,0.0,176.0
2014-12-28,0.0487905,0.0,389.0
2014-12-29,0.0403496,0.0,490.0
2014-12-30,0.0391974,0.0,591.0
2014-12-31,0.0467186,0.0,370.0
2015-01-01,0.0378698,0.0,795.0
