date,prices,market_caps,total_volumes
2014-05-30,0.0836463,651994.0,300881.0
2014-05-31,0.0422301,351044.0,177080.0
2014-06-01,0.0200679,185447.0,53865.0
2014-06-02,0.0381947,380488.0,92707.0
2014-06-03,0.0339168,361469.0,43764.0
2014-06-04,0.0257933,292886.0,38208.0
2014-06-05,0.0143118,167528.0,53334.0
2014-06-06,0.0703312,823297.0,314171.0
2014-06-07,0.0701759,821496.0,371102.0
2014-06-08,0.0553987,648521.0,241252.0
2014-06-09,0.0511059,598277.0,150170.0
2014-06-10,0.0417307,488533.0,100941.0
2014-06-11,0.0540148,632349.0,280927.0
2014-06-12,0.0514863,602774.0,258081.0
2014-06-13,0.0479834,561774.0,173966.0
2014-06-14,0.0458007,536228.0,70963.0
2014-06-15,0.0456774,534790.0,62001.0
2014-06-16,0.049482,579342.0,85093.0
2014-06-17,0.0505254,591564.0,123573.0
2014-06-18,0.047643,557832.0,65606.0
2014-06-19,0.0471704,552306.0,27938.0
2014-06-20,0.048316,565726.0,79333.0
2014-06-21,0.0455941,533861.0,34748.0
2014-06-22,0.0451811,529033.0,29741.0
2014-06-23,0.0376884,441306.0,81968.0
2014-06-24,0.0367142,429905.0,46825.0
2014-06-25,0.0364408,426709.0,13408.0
2014-06-26,0.0306204,358560.0,23516.0
2014-06-27,0.0367767,430655.0,87122.0
2014-06-28,0.032432,379786.0,63985.0
2014-06-29,0.0324495,379989.0,64137.0
2014-06-30,0.0317209,371462.0,13792.0
2014-07-01,0.0339399,397452.0,38162.0
2014-07-02,0.0298187,349196.0,33534.0
2014-07-03,0.0252302,295466.0,44264.0
2014-07-04,0.0258852,303141.0,13821.0
2014-07-05,0.022243,260490.0,18531.0
2014-07-06,0.0213932,250540.0,8282.0
2014-07-07,0.018063,211538.0,611.0
2014-07-08,0.0223866,262178.0,12650.0
2014-07-09,0.0225831,264482.0,13941.0
2014-07-10,0.019402,227228.0,1048.0
2014-07-11,0.0206392,241727.0,5747.0
2014-07-12,0.0203658,238526.0,7688.0
2014-07-13,0.0199773,233977.0,7632.0
2014-07-14,0.020153,236036.0,8146.0
2014-07-15,0.0193479,226608.0,6876.0
2014-07-16,0.0183581,215017.0,9941.0
2014-07-17,0.0172724,202301.0,6339.0
2014-07-18,0.0185151,216858.0,10548.0
2014-07-19,0.0192152,225059.0,8199.0
2014-07-20,0.0183557,214994.0,2396.0
2014-07-21,0.0175962,206099.0,3751.0
2014-07-22,0.0175106,205098.0,8391.0
2014-07-23,0.015617,182919.0,5871.0
2014-07-24,0.0151404,177338.0,6872.0
2014-07-25,0.0133956,156901.0,8406.0
2014-07-26,0.0124512,145840.0,12136.0
2014-07-27,0.0134649,157715.0,5187.0
2014-07-28,0.0119558,140039.0,6426.0
2014-07-29,0.0122653,143665.0,5593.0
2014-07-30,0.0115086,134803.0,2223.0
2014-07-31,0.0116603,136580.0,1999.0
2014-08-01,0.0111794,130948.0,4017.0
2014-08-02,0.0105418,123480.0,4895.0
2014-08-03,0.0113249,132653.0,504.0
2014-08-04,0.00956913,112088.0,603.0
2014-08-05,0.010177,119208.0,2949.0
2014-08-06,0.010368,121446.0,13019.0
2014-08-07,0.0106822,125127.0,1465.0
2014-08-08,0.00990254,115994.0,3108.0
2014-08-09,0.00985804,115473.0,3992.0
2014-08-10,0.00988039,115735.0,931.0
2014-08-11,0.00934555,109471.0,980.0
2014-08-12,0.00888749,104105.0,1392.0
2014-08-13,0.00794561,93073.0,1429.0
2014-08-14,0.00763121,89390.0,1307.0
2014-08-15,0.00764509,89553.0,1083.0
