date,prices,market_caps,total_volumes
2015-07-16,0.000265106,2151.0,0.0
2015-07-17,0.000281907,2292.0,1.0
2015-07-18,0.000283153,2307.0,0.0
2015-07-19,0.000241575,1972.0,2.0
2015-07-20,0.000416797,3409.0,0.0
2015-07-21,0.000312126,2558.0,1.0
2015-07-22,0.000306453,2517.0,0.0
2015-07-23,0.00055045,4530.0,5.0
2015-07-24,0.000563367,4644.0,0.0
2015-07-25,0.000259402,2142.0,2.0
2015-07-26,0.000262248,2170.0,1.0
2015-07-27,0.000241563,2002.0,5.0
2015-07-28,0.00058981,4899.0,0.0
2015-07-29,0.000241337,2008.0,0.0
2015-07-30,0.00045953,3830.0,0.0
2015-07-31,0.000233597,1950.0,0.0
2015-08-01,0.000227643,1904.0,1.0
2015-08-02,0.000282006,2364.0,0.0
2015-08-04,0.000228904,1922.0,0.0
2015-08-05,0.000228833,1925.0,0.0
2015-08-06,0.000226596,1910.0,0.0
2015-08-07,0.000226966,1917.0,0.0
2015-08-08,0.000227964,1929.0,0.0
2015-08-09,0.00021206,1797.0,1.0
2015-08-10,0.000214337,1820.0,0.0
2015-08-11,0.00021457,1825.0,1.0
2015-08-12,0.000216393,1844.0,2.0
2015-08-13,0.000213219,1817.0,0.0
2015-08-14,0.000214541,1829.0,2.0
2015-08-15,0.000215274,1838.0,1.0
2015-08-16,0.000209858,1795.0,1.0
2015-08-17,0.00020859,1785.0,0.0
2015-08-18,0.000205672,1763.0,0.0
2015-08-19,0.000188447,1617.0,1.0
2015-08-20,0.000189009,1626.0,0.0
2015-08-21,0.000227576,1961.0,0.0
2015-08-22,0.000224909,1942.0,0.0
2015-08-24,0.000179538,1553.0,1.0
2015-08-25,0.000160903,1395.0,1.0
2015-08-26,0.000167177,1451.0,1.0
2015-08-27,0.000159788,1391.0,2.0
2015-08-28,0.000163362,1424.0,1.0
2015-08-30,0.000162336,1416.0,2.0
2015-08-31,0.000161605,1410.0,0.0
2015-09-01,0.000163037,1422.0,2.0
2015-09-02,0.00016108,1405.0,4.0
2015-09-03,0.000219588,1916.0,0.0
2015-09-04,0.000161869,1424.0,0.0
2015-09-05,5.97636e-05,526.0,6.0
2015-09-06,6.23251e-05,549.0,0.0
2015-09-07,6.24156e-05,551.0,0.0
