date,prices,market_caps,total_volumes
2014-11-08,0.0110459,23124.0,92.0
2014-11-09,0.00898807,18953.0,146.0
2014-11-10,0.0116777,24794.0,688.0
2014-11-11,0.0108127,23189.0,174.0
2014-11-12,0.00503633,10878.0,205.0
2014-11-13,0.00997764,21632.0,134.0
2014-11-14,0.00754788,16441.0,289.0
2014-11-15,0.0112907,24759.0,75.0
2014-11-16,0.0193729,42853.0,411.0
2014-11-17,0.0177471,39717.0,234.0
2014-11-18,0.00720048,16313.0,138.0
2014-11-19,0.00719528,16419.0,54.0
2014-11-20,0.00752737,17429.0,172.0
2014-11-21,0.00560955,13176.0,250.0
2014-11-22,0.00607448,14304.0,37.0
2014-11-23,0.0074169,17508.0,2.0
2014-11-24,0.00760686,18006.0,20.0
2014-11-25,0.0105503,25006.0,112.0
2014-11-26,0.01097,26023.0,188.0
2014-11-27,0.0104929,24969.0,10.0
2014-11-28,0.00644684,15382.0,8.0
2014-11-29,0.00687308,16466.0,133.0
2014-11-30,0.00642345,15403.0,112.0
2014-12-01,0.00647002,15528.0,60.0
2014-12-02,0.00647866,15573.0,35.0
2014-12-03,0.00642965,15491.0,115.0
2014-12-05,0.00638971,15414.0,0.0
2014-12-06,0.00641816,15493.0,8.0
2014-12-07,0.00643206,15538.0,10.0
2014-12-08,0.00411851,10016.0,148.0
2014-12-09,0.00531609,13029.0,100.0
2014-12-10,0.00764721,18947.0,330.0
2014-12-13,0.00487834,12335.0,37.0
2014-12-14,0.0045278,11637.0,313.0
2014-12-15,0.00688007,17759.0,177.0
2014-12-16,0.00452961,11733.0,3.0
2014-12-17,0.00389597,10092.0,37.0
2014-12-18,0.00373685,9680.0,6.0
2014-12-19,0.00343774,8905.0,6.0
2014-12-20,0.00491661,12736.0,93.0
2014-12-21,0.00455927,11811.0,179.0
2014-12-22,0.0064096,16604.0,97.0
2014-12-23,0.00419044,10856.0,88.0
2014-12-24,0.00428586,11103.0,13.0
2014-12-25,0.00384579,9963.0,131.0
2014-12-26,0.00100849,2612.0,67.0
2014-12-27,0.00404596,10481.0,41.0
2014-12-28,0.00346699,8982.0,41.0
2014-12-29,0.00314002,8135.0,253.0
2014-12-31,0.00314869,8783.0,0.0
2015-01-01,0.00317289,8875.0,0.0
2015-02-23,0.000790244,2692.0,2.0
2015-02-24,0.000801269,2732.0,2.0
2015-02-25,0.000794549,2711.0,7.0
2015-02-26,0.000786871,2687.0,1.0
2015-02-27,0.000819559,2801.0,0.0
2015-02-28,0.00084351,2885.0,0.0
2015-03-01,0.000847695,2900.0,11.0
2015-03-02,0.000866336,2965.0,0.0
2015-03-03,0.000920845,3153.0,0.0
2015-03-06,0.00177941,6317.0,113.0
2015-03-07,0.00353064,12833.0,153.0
2015-03-08,0.00303192,11033.0,1.0
2015-03-09,0.00156726,5706.0,80.0
2015-03-10,0.00288948,10525.0,85.0
2015-03-11,0.00250221,9117.0,0.0
2015-03-12,0.00577677,21063.0,472.0
2015-03-13,0.00349433,12873.0,39.0
2015-03-14,0.00172832,6385.0,21.0
2015-03-15,0.00174387,6449.0,0.0
2015-03-16,0.00335706,12427.0,1.0
2015-03-17,0.00179723,6657.0,9.0
2015-03-18,0.00281504,10431.0,12.0
2015-03-20,0.00159649,5919.0,17.0
2015-03-21,0.00116575,4323.0,1.0
2015-03-22,0.00180113,6683.0,0.0
2015-03-23,0.00719744,26726.0,83.0
2015-03-25,0.00649552,24158.0,33.0
2015-03-28,0.00166882,6232.0,67.0
2015-03-29,0.00167216,6255.0,6.0
2015-03-30,0.00489626,18344.0,9.0
2015-03-31,0.0049049,18386.0,19.0
2015-04-02,0.00153423,5756.0,6.0
2015-04-03,0.00126979,4765.0,25.0
2015-04-04,0.00128925,4841.0,19.0
2015-04-05,0.0033352,12533.0,6.0
2015-04-07,0.00132884,4998.0,0.0
2015-04-08,0.00132944,5001.0,0.0
2015-04-10,0.00110355,4153.0,43.0
2015-04-11,0.00142391,5362.0,72.0
2015-04-12,0.00236598,8918.0,11.0
2015-04-13,0.0031214,11778.0,78.0
2015-04-14,0.00281957,10654.0,0.0
2015-04-15,0.00371448,14050.0,385.0
2015-04-16,0.00231027,8761.0,57.0
2015-04-17,0.00267916,10188.0,21.0
2015-04-18,0.00225584,8588.0,78.0
2015-04-19,0.00225372,8587.0,3.0
2015-04-20,0.00270296,10301.0,17.0
2015-04-21,0.00508529,19400.0,12.0
2015-04-23,0.00303848,11600.0,4.0
2015-04-24,0.0030464,11643.0,4.0
2015-04-25,0.00302562,11576.0,2.0
2015-04-26,0.00135729,5276.0,16.0
2015-04-27,0.001367,5374.0,62.0
2015-04-28,0.00363855,14698.0,60.0
2015-04-29,0.00140529,5680.0,26.0
2015-04-30,0.00145547,5886.0,34.0
2015-05-01,0.00163631,6621.0,15.0
2015-05-02,0.00145993,5909.0,6.0
2015-05-03,0.00151306,6127.0,32.0
2015-05-04,0.00342446,13872.0,0.0
2015-05-05,0.00331543,13438.0,2.0
2015-05-06,0.00331419,13440.0,34.0
2015-05-07,0.00146147,5930.0,0.0
2015-05-08,0.00308803,12535.0,2.0
2015-05-10,0.00149801,6087.0,75.0
2015-05-11,0.00148975,6057.0,0.0
2015-05-12,0.00149744,6092.0,22.0
2015-05-13,0.00150926,6145.0,14.0
2015-05-14,0.00149203,6079.0,2.0
2015-05-15,0.00150715,6147.0,5.0
2015-05-16,0.00119753,4887.0,26.0
2015-05-17,0.00119785,4891.0,1.0
2015-05-18,0.00119498,4880.0,1.0
2015-05-19,0.00117792,4812.0,3.0
2015-05-20,0.00117922,4820.0,3.0
2015-05-21,0.00072087,2946.0,15.0
2015-05-22,0.000725017,2964.0,21.0
2015-05-23,0.00167149,6833.0,16.0
2015-05-24,0.00107708,4403.0,4.0
2015-05-25,0.000732981,2996.0,0.0
2015-05-26,0.000308588,1261.0,1.0
2015-05-28,0.00169093,6929.0,28.0
2015-05-29,0.00639722,26243.0,0.0
2015-05-30,0.00651591,26768.0,24.0
2015-06-01,0.00165045,6805.0,0.0
2015-06-02,0.00507211,20937.0,32.0
2015-06-03,0.00161818,6696.0,3.0
2015-06-04,0.00316021,13083.0,0.0
2015-06-05,0.0016191,6704.0,0.0
2015-06-06,0.00163163,6757.0,0.0
2015-06-07,0.0016257,6734.0,10.0
2015-06-08,0.00446992,18525.0,11.0
2015-06-09,0.00455719,18893.0,13.0
2015-06-10,0.00451401,18720.0,154.0
2015-06-11,0.00184437,7651.0,2.0
2015-06-12,0.00321728,13352.0,12.0
2015-06-13,0.00185933,7720.0,4.0
2015-06-14,0.00186542,7748.0,6.0
2015-06-15,0.00213588,8875.0,2.0
2015-06-16,0.00321725,13373.0,4.0
2015-06-17,0.00224259,9328.0,4.0
2015-06-18,0.00224704,9350.0,2.0
2015-06-19,0.00221701,9232.0,1950.0
2015-06-20,0.00317572,13230.0,35.0
2015-06-23,0.000529853,2209.0,0.0
2015-06-26,0.000528358,2204.0,13.0
2015-06-30,0.00061551,2571.0,0.0
2015-07-03,0.000607139,2538.0,2.0
2015-07-09,0.00067774,2836.0,0.0
2015-07-10,0.000673319,2818.0,9.0
2015-07-11,0.000719522,3012.0,0.0
2015-07-12,0.00331126,13861.0,34.0
2015-07-14,0.00204889,8581.0,31.0
2015-07-15,0.00202761,8502.0,9.0
2015-07-16,0.00236868,9943.0,168.0
2015-07-17,0.00225873,9482.0,4.0
2015-07-18,0.00222739,9351.0,10.0
2015-07-19,0.00220658,9263.0,6.0
2015-07-20,0.00219724,9224.0,5.0
2015-07-21,0.00223786,9395.0,7.0
2015-07-22,0.00286363,12022.0,119.0
2015-07-24,0.00290767,12207.0,49.0
2015-07-28,0.00108801,4567.0,18.0
2015-07-29,0.00290275,12186.0,68.0
2015-07-30,0.00159164,6682.0,13.0
2015-07-31,0.00120783,5070.0,3.0
2015-08-01,0.00102978,4323.0,8.0
2015-08-02,0.00141114,5924.0,173.0
2015-08-03,0.0010746,4511.0,59.0
2015-08-04,0.0010161,4265.0,60.0
2015-08-05,0.00103403,4341.0,6.0
2015-08-06,0.00111449,4678.0,2.0
2015-08-07,0.00102544,4305.0,1.0
2015-08-08,0.0009863,4140.0,0.0
2015-08-09,0.000970284,4073.0,1.0
2015-08-10,0.000966211,4056.0,0.0
2015-08-11,0.000970131,4072.0,1.0
2015-08-12,0.00187026,7851.0,117.0
2015-08-13,0.000984405,4132.0,1.0
2015-08-16,0.00098124,4396.0,0.0
2015-08-17,0.00231908,10398.0,38.0
2015-08-18,0.00205666,9231.0,10.0
2015-08-19,0.00090183,4055.0,0.0
2015-08-20,0.000922013,4148.0,0.0
2015-08-21,0.000909207,4093.0,0.0
2015-08-23,0.000919684,4144.0,0.0
2015-08-24,0.000893172,4028.0,1.0
2015-08-25,0.000865409,3909.0,0.0
2015-08-26,0.000928021,4206.0,15.0
2015-08-27,0.000915379,4149.0,7.0
2015-08-28,0.000896873,4065.0,11.0
2015-08-29,0.000911434,4131.0,5.0
2015-08-30,0.00136727,6198.0,0.0
2015-09-01,0.000993301,4502.0,62.0
2015-09-03,0.00167568,7596.0,9.0
2015-09-04,0.00103084,5060.0,5.0
2015-09-06,0.00156456,7725.0,9.0
2015-09-07,0.00201111,9965.0,2.0
2015-09-08,0.00240224,11947.0,19.0
2015-09-09,0.00194761,9721.0,45.0
2015-09-10,0.00213304,10685.0,18.0
2015-09-11,0.00172133,8659.0,35.0
2015-09-13,0.00151773,7679.0,25.0
2015-09-14,0.00207481,10521.0,2.0
2015-09-16,0.00205112,10448.0,5.0
2015-09-17,0.00373211,19050.0,182.0
2015-09-18,0.0033983,17378.0,16.0
2015-09-19,0.00187091,9596.0,1.0
2015-09-20,0.00343292,17651.0,30.0
2015-09-21,0.00337387,17390.0,5.0
2015-09-22,0.00339294,17533.0,10.0
2015-09-23,0.00338689,17548.0,36.0
2015-09-24,0.0012973,6740.0,2.0
2015-09-25,0.000720648,3755.0,21.0
2015-09-26,0.000739018,3866.0,0.0
2015-09-27,0.00065266,3426.0,48.0
2015-09-28,0.000691163,3640.0,6.0
2015-10-01,0.000667069,3541.0,25.0
2015-10-02,0.000630739,3358.0,0.0
2015-10-03,0.000644209,3439.0,0.0
2015-10-05,0.000642106,3437.0,0.0
2015-10-06,0.000649906,3492.0,0.0
2015-10-07,0.000562074,3032.0,0.0
2015-10-08,0.000553096,2991.0,4.0
2015-10-11,0.00207821,11315.0,2235.0
2015-10-12,0.000738766,4033.0,247.0
2015-10-13,0.000523061,2863.0,67.0
2015-10-14,0.000531272,2916.0,0.0
2015-10-15,0.000536585,2953.0,0.0
2015-10-16,0.000540624,2984.0,5.0
2015-10-17,0.000617582,3422.0,109.0
2015-10-19,0.00107014,5956.0,31.0
2015-10-20,0.000813597,4540.0,0.0
2015-10-21,0.000831215,4651.0,0.0
2015-10-22,0.000820767,4607.0,0.0
2015-10-23,0.000828264,4663.0,0.0
2015-10-24,0.000835743,4718.0,0.0
2015-10-25,0.000596955,3381.0,37.0
2015-10-26,0.000441952,2508.0,0.0
2015-10-28,0.000504188,2876.0,0.0
2015-10-30,0.00131989,7557.0,40.0
2015-10-31,0.000479828,2754.0,6.0
2015-11-02,0.000484514,2810.0,9.0
2015-11-03,0.000877274,5114.0,18.0
2015-11-04,0.0016928,9900.0,94.0
2015-11-05,0.000860246,5058.0,9.0
2015-11-06,0.000567455,3356.0,12.0
2015-11-07,0.000518651,3080.0,10.0
2015-11-08,0.000478711,2860.0,12.0
2015-11-10,0.000472797,2842.0,9.0
2015-11-11,0.000752785,4539.0,0.0
2015-11-12,0.000798994,4831.0,32.0
2015-11-13,0.000789341,4785.0,11.0
2015-11-14,0.000467842,2839.0,2.0
2015-11-15,0.000533462,3246.0,2.0
2015-11-16,0.000477546,2913.0,3.0
2015-11-18,0.00043797,2677.0,39.0
2015-11-19,0.000422174,2585.0,0.0
2015-11-20,0.000740358,4541.0,0.0
2015-11-21,0.000413028,2538.0,3.0
2015-11-22,0.000401306,2471.0,11.0
2015-11-23,0.000960684,5931.0,35.0
2015-11-24,0.000450117,2785.0,17.0
2015-11-25,0.000474548,2942.0,19.0
2015-11-26,0.000686724,4267.0,16.0
2015-11-27,0.000411252,2562.0,10.0
2015-11-28,0.000409514,2556.0,2.0
2015-11-29,0.000387046,2422.0,11.0
2015-11-30,0.00148325,9301.0,60.0
2015-12-01,0.00043528,2735.0,0.0
2015-12-02,0.000540241,3401.0,18.0
2015-12-03,0.000438286,2764.0,0.0
2015-12-04,0.00039075,2468.0,6.0
2015-12-05,0.000400924,2537.0,11.0
2015-12-07,0.000433393,2746.0,2.0
2015-12-09,0.00046604,2959.0,0.0
2015-12-11,0.000496927,3166.0,0.0
2015-12-13,0.000482558,3079.0,0.0
2015-12-14,0.00049492,3165.0,0.0
2015-12-16,0.00051901,3325.0,0.0
2015-12-18,0.000511171,3283.0,0.0
