date,prices,market_caps,total_volumes
2016-07-24,0.752345,0.0,11763300.0
2016-07-25,0.615038,50616060.0,10943600.0
2016-07-26,2.25258,185381596.0,47520200.0
2016-07-27,1.61,132498899.33,63109100.0
2016-07-28,1.71,140728644.63,40221600.0
2016-07-29,1.67,137436746.51,20828400.0
2016-07-30,1.56,128384026.68,10265500.0
2016-07-31,1.81,148958389.93,28954300.0
2016-08-01,2.29,188461167.37,45218600.0
2016-08-02,2.76,227443480.08,143356000.0
2016-08-03,2.56,210962068.48,75830900.0
2016-08-04,2.2999999999999994,189536233.39999995,43518200.0
2016-08-05,2.59,213434280.22,20373200.0
2016-08-06,2.65,218378703.7,22834500.0
2016-08-07,2.14,177036713.04,31180400.0
2016-08-08,2.14,177136993.44,15732800.0
2016-08-09,1.93,159810540.77,23698700.0
2016-08-10,1.68,139163312.4,19863500.0
2016-08-11,1.86,154134470.7,17393900.0
2016-08-12,1.84,152535275.04,15364400.0
2016-08-13,1.88,155910738.72,3867230.0
2016-08-14,1.94,160947056.0,6987530.0
2016-08-15,1.8600000000000003,154369903.92000002,7302370.0
2016-08-16,1.86,154428244.68,4071690.0
2016-08-17,1.74,144519780.3,5066540.0
2016-08-18,1.69,140419779.63,4452620.0
2016-08-19,1.78,147952460.8,6193830.0
2016-08-20,1.74,144683354.22,3343850.0
2016-08-21,1.72,143075239.88,1867730.0
2016-08-22,1.66,138135859.18,4770630.0
2016-08-23,1.6100000000000003,134026372.34000002,6296870.0
2016-08-24,1.46,121583608.24,5991080.0
2016-08-25,1.38,114965139.36,9708570.0
2016-08-26,1.44,120009408.48,6278280.0
2016-08-27,1.36,113385231.84,3427400.0
2016-08-28,1.33,110925649.52,4844490.0
2016-08-29,1.26,105126760.62,6346410.0
2016-08-30,1.2399999999999998,103496612.4,7009320.0
2016-08-31,1.18,98525716.6,6084830.0
2016-09-01,1.48,123621514.0,13498100.0
2016-09-02,1.4,116983738.2,6498080.0
2016-09-03,1.35,112847604.3,4593020.0
2016-09-04,1.43,119581406.23,3608280.0
2016-09-05,1.46,122136527.76,4738280.0
2016-09-06,1.47,123019741.53,2625500.0
2016-09-07,1.48,123903744.08,2843450.0
2016-09-08,1.46,122275438.0,2252820.0
2016-09-09,1.4,117294910.6,2437100.0
2016-09-10,1.42,119014846.24,1472620.0
2016-09-11,1.34,112352003.86,4145910.0
2016-09-12,1.32,110716317.36,1724140.0
2016-09-13,1.29,108239635.26,1643440.0
2016-09-14,1.3,109119865.4,1595380.0
2016-09-15,1.28,107481982.72,1368090.0
2016-09-16,1.32,110882364.12,1873970.0
2016-09-17,1.32,110924028.6,1012110.0
2016-09-18,1.32,110966239.56,1938750.0
2016-09-19,1.28,107643004.16,1326170.0
2016-09-20,1.25,105158902.5,2516030.0
2016-09-21,1.23,103515590.91,2629900.0
2016-09-22,1.2600000000000002,106081029.18000002,6865170.0
2016-09-23,1.24,104435999.2,1707750.0
2016-09-24,1.25,105316706.25,869255.0
2016-09-25,1.21,101985670.38,974538.0
2016-09-26,1.2,101179862.4,1366810.0
2016-09-27,1.19,100373872.48,1885130.0
2016-09-28,1.25,105475360.0,2120890.0
2016-09-29,1.27,107203764.51,1274830.0
2016-09-30,1.2600000000000002,106399219.5,752634.0
2016-10-01,1.19,100524810.89,2441570.0
2016-10-02,1.19,100562129.29,977108.0
2016-10-03,1.19,100600581.76,1580040.0
2016-10-04,1.16,98101314.84,1123870.0
2016-10-05,1.19,100675662.43,2008830.0
2016-10-06,1.17,99021177.45,1017310.0
2016-10-07,1.17,99057152.61,1015850.0
2016-10-08,1.18,99942048.18,986406.0
2016-10-09,1.17,99132759.18,398315.0
2016-10-10,1.16,98312497.48,909349.0
2016-10-11,1.1,93271348.5,2232600.0
2016-10-12,1.03,87366744.46,2752460.0
2016-10-13,1.01,85702442.03,1454640.0
2016-10-14,0.990631,84089543.037099,939122.0
2016-10-15,0.990304,84094288.4656,574333.0
2016-10-16,1.17,99387770.04,2885360.0
2016-10-17,1.08,91779727.32,3508860.0
2016-10-18,1.05,89262487.65,1694570.0
2016-10-19,1.05,89295146.85,1064810.0
2016-10-20,1.04,88478660.4,714144.0
2016-10-21,1.03,87660383.04,784328.0
2016-10-22,1.05,89396531.7,1045620.0
2016-10-23,1.0500000000000005,89429719.05000001,554207.0
2016-10-24,1.03,87759298.06,614371.0
2016-10-25,1.03,87789447.19,1353460.0
2016-10-26,1.02,86955613.02,1062020.0
2016-10-27,0.992465,84654427.042565,2326750.0
2016-10-28,0.972332,82955962.105668,1696630.0
2016-10-29,0.908174,77521792.579484,2675010.0
2016-10-30,0.927065,79154173.412615,1489180.0
2016-10-31,0.911575,77855682.74155,1054150.0
2016-11-01,0.883244,75476423.6406,1332460.0
2016-11-02,0.8770299999999999,74972519.27164999,650849.0
2016-11-03,0.894499,76493658.042356,1352640.0
2016-11-04,0.971357,83096599.57044,2086250.0
2016-11-05,1.04,89003066.88,1956790.0
2016-11-06,0.985199,84344461.723201,1078400.0
2016-11-07,0.928565,79525895.503725,1025740.0
2016-11-08,0.930972,79758502.234908,822369.0
2016-11-09,0.914164,78350659.836816,1037320.0
2016-11-10,0.922209,79070081.617248,626507.0
2016-11-11,0.919324,78852020.02308401,504642.0
2016-11-12,0.903418,77518950.51289201,719770.0
2016-11-13,0.907208,77875489.517056,463670.0
2016-11-14,0.890751,76494578.2515,287469.0
2016-11-15,0.922766,79277436.642248,674767.0
2016-11-16,0.909332,78153557.19184,947772.0
2016-11-17,0.8939679999999998,76861944.54897599,482559.0
2016-11-18,0.870103,74839010.361804,525350.0
2016-11-19,0.86146,74124692.68196,395386.0
2016-11-20,0.85909,73949541.10098,382162.0
2016-11-21,0.85156,73328111.76324,274747.0
2016-11-22,0.841786,72513207.898098,433866.0
2016-11-23,0.816471,70357151.29446,737129.0
2016-11-24,0.769995,66377948.73156,1108290.0
2016-11-25,0.84148,72567468.93348,1330700.0
2016-11-26,0.7827079999999998,67523600.82067999,459288.0
2016-11-27,0.778128,67153843.13976,272764.0
2016-11-28,0.7587279999999997,65503966.24739998,265521.0
2016-11-29,0.74592,64422382.57056,788581.0
2016-11-30,0.747856,64612891.751424,391962.0
2016-12-01,0.764982,66117843.30443401,412783.0
2016-12-02,0.797346,68940576.36576,1167150.0
2016-12-03,0.772061,66780094.064558,407457.0
2016-12-04,0.762552,65981657.938392,542495.0
2016-12-05,0.824148,71338761.027612,1231270.0
2016-12-06,0.781201,67646963.947545,1629650.0
2016-12-07,0.822841,71278704.480125,577558.0
2016-12-08,0.819102,70981079.281584,536907.0
2016-12-09,0.812738,70456071.915736,571667.0
2016-12-10,0.852835,73960803.71477,531857.0
2016-12-11,0.931103,80779570.754374,1769350.0
2016-12-12,0.913056,79243139.57424,1157860.0
2016-12-13,0.981481,85213612.400779,1521450.0
2016-12-14,0.991656,86129666.061624,1132700.0
2016-12-15,1.08,93839758.2,3153440.0
2016-12-16,1.07,93006538.93,1488380.0
2016-12-17,0.997295,86719017.810555,1360920.0
2016-12-18,1.05,91337039.85,674301.0
2016-12-19,1.21,105295779.05,3067390.0
2016-12-20,1.14,99241982.94,2323420.0
2016-12-21,1.13,98407237.63,2233570.0
2016-12-22,1.1,95829883.6,2415260.0
2016-12-23,1.05,91507326.75,3953530.0
2016-12-24,1.11,96772800.33,1736310.0
2016-12-25,1.07,93320397.75,1117530.0
2016-12-26,1.0400000000000005,90736835.28000002,704228.0
2016-12-27,1.06,92516497.9,837276.0
2016-12-28,1.11,96916519.8,1532460.0
2016-12-29,1.42,124030577.34,7922780.0
2016-12-30,1.54,134563877.14,9616190.0
2016-12-31,1.42,124123551.84,3974170.0
2017-01-01,1.4,122421105.8,3568340.0
2017-01-02,1.44,125965254.24,3056990.0
2017-01-03,1.5,131262613.5,5400420.0
2017-01-04,1.77,154948060.29,7283710.0
2017-01-05,1.64,143621401.0,8291470.0
2017-01-06,1.5,131408949.0,3387610.0
2017-01-07,1.43,125324131.79,3493520.0
2017-01-08,1.44,126246437.28,1088810.0
2017-01-09,1.4,122783971.8,1783810.0
2017-01-10,1.44,126338783.04,1173680.0
2017-01-11,1.18,103565329.04,3189390.0
2017-01-12,1.22,107114385.94,1895310.0
2017-01-13,1.21,106275638.26,1542460.0
2017-01-14,1.21,106314312.28,575111.0
2017-01-15,1.19,104594600.18,745182.0
2017-01-16,1.18,103752998.6,371734.0
2017-01-17,1.21,106429448.62,1524840.0
2017-01-18,1.21,106467129.23,973475.0
2017-01-19,1.17,102985018.11,712035.0
2017-01-20,1.34,117991987.48,4917230.0
2017-01-21,1.42,125082051.84,3113930.0
2017-01-22,1.38,121603197.42,1757320.0
2017-01-23,1.4,123409767.59999998,760518.0
2017-01-24,1.37,120809986.64000002,903064.0
2017-01-25,1.29,113796586.32,1434990.0
2017-01-26,1.33,117367819.73000002,951337.0
2017-01-27,1.28,112994739.2,1334830.0
2017-01-28,1.3100000000000005,115684272.55000004,522105.0
2017-01-29,1.3,114841342.2,311113.0
2017-01-30,1.35,119299551.3,560946.0
2017-01-31,1.36,120226578.56,1078280.0
2017-02-01,1.36,120268730.40000002,735766.0
2017-02-02,1.36,120310788.4,488527.0
2017-02-03,1.36,120352983.76,975640.0
2017-02-04,1.39,123051354.06,899252.0
2017-02-05,1.39,123094239.73,705749.0
2017-02-06,1.47,130225822.65,2245760.0
2017-02-07,1.52,134682994.16,1464530.0
2017-02-08,1.45,128545603.0,1251770.0
2017-02-09,1.27,112626909.62,4445520.0
2017-02-10,1.26,111780072.18,1848840.0
2017-02-11,1.24,110044763.48,1621760.0
2017-02-12,1.22,108307621.58,1587660.0
2017-02-13,1.19,105682460.1,1451840.0
2017-02-14,1.25,111049913.75,1592770.0
2017-02-15,1.26,111977801.46,1162110.0
2017-02-16,1.23,109350705.99,1068710.0
2017-02-17,1.23,109389672.39,790971.0
2017-02-18,1.22,108538776.2,1126510.0
2017-02-19,1.22,108577457.52,646742.0
2017-02-20,1.22,108603704.6,489771.0
2017-02-21,1.22,108603704.6,489771.0
2017-02-22,1.22,108603704.6,489771.0
2017-02-23,1.22,108603704.6,489771.0
2017-02-24,1.21,107879597.32,2176250.0
2017-02-25,1.21,107917447.33,1337630.0
2017-02-26,1.24,110633012.04,1405790.0
2017-02-27,1.23,109779113.76,1269190.0
2017-02-28,1.24,110710988.2,1480930.0
2017-03-01,1.4,125040437.2,4512900.0
2017-03-02,1.37,122403833.68,3807100.0
2017-03-03,1.44,128703866.4,4174170.0
2017-03-04,1.43,127856289.99,2400240.0
2017-03-05,1.39,124323911.57,1591030.0
2017-03-06,1.43,127947013.48,1170640.0
2017-03-07,1.37,122621922.61,2237630.0
2017-03-08,1.29,115503634.29,1963450.0
2017-03-09,1.33,119126574.49,1262870.0
2017-03-10,1.29,115585024.26,4264970.0
2017-03-11,1.38,123692171.04,2034410.0
