date,prices,market_caps,total_volumes
2014-03-22,0.00296622,148311.0,604.0
2014-03-23,0.00441843,220921.0,2366.0
2014-03-24,0.0036758,183790.0,885.0
2014-03-25,0.00410028,205014.0,4654.0
2014-03-26,0.00417364,208682.0,2996.0
2014-03-27,0.00105705,52852.0,7631.0
2014-03-28,0.001492,74604.0,86.0
2014-03-29,0.0030085,150425.0,0.0
2014-03-30,0.00293012,146506.0,169.0
2014-03-31,0.0015057,75285.0,996.0
2014-04-01,0.00422297,211150.0,6305.0
2014-04-02,0.00211629,105816.0,977.0
2014-04-03,0.00185354,92679.0,3178.0
2014-04-04,0.00213801,106904.0,1920.0
2014-04-05,0.00212769,106389.0,2490.0
2014-04-06,0.00309003,154509.0,3274.0
2014-04-07,0.00274346,137181.0,1502.0
2014-04-08,0.00308553,154287.0,4902.0
2014-04-09,0.00908295,454184.0,116697.0
2014-04-10,0.007572,378665.0,110902.0
2014-04-11,0.00744051,372095.0,37444.0
2014-04-12,0.00939084,469633.0,37190.0
2014-04-13,0.0272928,1364927.0,265448.0
2014-04-14,0.0237791,1189226.0,292843.0
2014-04-15,0.0186715,933800.0,153890.0
2014-04-16,0.00874539,437396.0,75918.0
2014-04-17,0.015289,764682.0,82574.0
2014-04-18,0.015451,772796.0,83531.0
2014-04-19,0.0148797,744232.0,47274.0
2014-04-20,0.0140635,703419.0,18616.0
2014-04-21,0.0117278,586604.0,104179.0
2014-04-22,0.0070833,354298.0,40569.0
2014-04-23,0.00704573,352420.0,13155.0
2014-04-24,0.0066736,333806.0,6538.0
2014-04-25,0.00457704,228939.0,11146.0
2014-04-26,0.00360598,180367.0,9307.0
2014-04-27,0.00270348,135225.0,7577.0
2014-04-28,0.00304346,152231.0,1842.0
2014-04-29,0.0029922,149667.0,1966.0
2014-04-30,0.00334926,167526.0,3981.0
2014-05-01,0.00280794,140450.0,1863.0
2014-05-02,0.00289817,144963.0,1292.0
2014-05-03,0.00241858,120975.0,2497.0
2014-05-04,0.0022228,111182.0,1399.0
2014-05-05,0.00190338,95205.0,2566.0
2014-05-06,0.00217968,109025.0,1452.0
2014-05-07,0.0024048,120286.0,1752.0
2014-05-08,0.005533,276734.0,85866.0
2014-05-09,0.00553686,276948.0,85869.0
2014-05-10,0.00468144,234161.0,13828.0
2014-05-11,0.00371169,185655.0,7536.0
2014-05-12,0.00353977,177056.0,4221.0
2014-05-13,0.00289428,144769.0,2004.0
2014-05-14,0.00293016,146563.0,1002.0
2014-05-15,0.00223072,111578.0,1459.0
2014-05-16,0.00242552,121322.0,1748.0
2014-05-17,0.00182733,91401.0,2361.0
2014-05-18,0.00194576,97325.0,912.0
2014-05-19,0.00194361,97217.0,1086.0
2014-05-20,0.00170465,85265.0,1771.0
2014-05-21,0.00242259,121175.0,2431.0
2014-05-22,0.00216032,108057.0,1225.0
2014-05-23,0.00180137,90103.0,588.0
2014-05-24,0.00143236,71645.0,1971.0
2014-05-25,0.00185766,92918.0,849.0
2014-05-26,0.00180907,90488.0,1769.0
2014-05-27,0.00235113,117601.0,882.0
2014-05-28,0.00176535,88301.0,908.0
2014-05-29,0.00171286,85675.0,520.0
2014-05-30,0.00185758,92914.0,837.0
2014-05-31,0.0018523,92650.0,670.0
2014-06-01,0.00158376,79218.0,1048.0
2014-06-02,0.00140321,70187.0,339.0
2014-06-03,0.00159685,79873.0,665.0
2014-06-04,0.0015885,79455.0,380.0
2014-06-05,0.00144061,72058.0,1869.0
2014-06-06,0.00123527,61787.0,681.0
2014-06-07,0.00114282,57163.0,368.0
2014-06-08,0.00114825,57434.0,229.0
2014-06-09,0.00111023,55533.0,129.0
2014-06-10,0.00121596,60821.0,175.0
2014-06-11,0.00109925,54983.0,114.0
2014-06-12,0.00113965,57004.0,167.0
2014-06-13,0.00101835,50937.0,85.0
2014-06-14,0.00101315,50677.0,44.0
2014-06-15,0.00118674,59359.0,310.0
2014-06-16,0.00142034,71044.0,260.0
2014-06-17,0.00125402,62725.0,142.0
2014-06-18,0.00112124,56083.0,65.0
2014-06-19,0.001034,51715.0,529.0
2014-06-21,0.000892324,44633.0,111.0
2014-06-22,0.000968422,48439.0,59.0
2014-06-23,0.000974305,48734.0,221.0
2014-06-24,0.000965296,48283.0,229.0
2014-06-25,0.000922073,46121.0,106.0
2014-06-26,0.00107433,53737.0,178.0
2014-06-27,0.000966098,48323.0,135.0
2014-06-28,0.000954,47742.0,213.0
2014-06-29,0.000960018,48019.0,205.0
2014-06-30,0.000809903,40510.0,264.0
2014-07-01,0.000850183,42525.0,135.0
2014-07-02,0.000489651,24492.0,693.0
2014-07-03,0.000782811,39155.0,182.0
2014-07-04,0.00082,41011.0,107.0
2014-07-05,0.000821301,41081.0,107.0
2014-07-06,0.000953063,47671.0,377.0
2014-07-07,0.000874,43703.0,103.0
2014-07-08,0.000815771,40804.0,110.0
2014-07-09,0.000875795,43806.0,378.0
2014-07-10,0.000956305,47833.0,716.0
2014-07-11,0.00124665,62356.0,434.0
2014-07-12,0.00126204,63126.0,349.0
2014-07-13,0.00139603,69828.0,507.0
2014-07-14,0.00111681,55862.0,704.0
2014-07-15,0.00114194,57119.0,85.0
2014-07-16,0.00117138,58591.0,69.0
2014-07-17,0.00122607,61327.0,607.0
2014-07-18,0.0013395,67000.0,313.0
2014-07-19,0.00125512,62780.0,58.0
2014-07-20,0.000599791,30001.0,813.0
2014-07-21,0.000645072,32266.0,1920.0
2014-07-22,0.000591283,29575.0,19.0
2014-07-23,0.000559884,28005.0,879.0
2014-07-24,0.000494075,24713.0,1514.0
2014-07-25,0.000691394,34583.0,103.0
2014-07-26,0.000446493,22333.0,6.0
2014-07-27,0.000476385,23828.0,689.0
2014-07-28,0.000636354,31830.0,152.0
2014-07-29,0.000473673,23693.0,334.0
2014-07-30,0.000458516,22934.0,75.0
2014-07-31,0.000586235,29323.0,963.0
2014-08-01,0.000494761,24747.0,42.0
2014-08-02,0.000490159,24517.0,139.0
2014-08-03,0.000522642,26142.0,142.0
2014-08-04,0.000617983,30911.0,91.0
2014-08-05,0.000526353,26328.0,4.0
2014-08-06,0.000520728,26046.0,105.0
2014-08-07,0.000677657,33896.0,118.0
2014-08-08,0.000770968,38563.0,87.0
2014-08-09,0.00076026,38027.0,85.0
2014-08-10,0.000884924,44263.0,123.0
2014-08-11,0.000574051,28713.0,83.0
2014-08-12,0.00078855,39442.0,60.0
2014-08-13,0.00047926,23972.0,120.0
2014-08-14,0.000461646,23091.0,117.0
2014-08-15,0.000407943,20405.0,66.0
2014-08-16,0.000422038,21110.0,42.0
2014-08-17,0.000372798,18647.0,188.0
2014-08-18,0.000361962,18105.0,52.0
2014-08-19,0.000398554,19935.0,55.0
2014-08-20,0.00047826,23922.0,443.0
2014-08-21,0.000563406,28181.0,74.0
2014-08-22,0.000605139,30268.0,84.0
2014-08-23,0.000668411,33433.0,78.0
2014-08-24,0.000681174,34072.0,296.0
2014-08-25,0.000751815,37605.0,531.0
2014-08-26,0.000764535,38241.0,118.0
2014-08-27,0.000922797,46157.0,204.0
2014-08-28,0.000829685,41500.0,221.0
2014-08-29,0.000839921,42012.0,246.0
2014-08-30,0.000935517,46794.0,208.0
2014-08-31,0.0013009,65070.0,243.0
2014-09-01,0.00177265,88666.0,938.0
2014-09-02,0.00153306,76682.0,824.0
2014-09-03,0.0015984,79950.0,158.0
2014-09-04,0.00196415,98245.0,1072.0
2014-09-05,0.0023581,117950.0,3526.0
2014-09-06,0.00242531,121311.0,861.0
2014-09-07,0.00486203,243194.0,13250.0
2014-09-08,0.00355686,177910.0,2752.0
2014-09-09,0.00360571,180354.0,388.0
2014-09-10,0.00407262,204735.0,709.0
2014-09-11,0.00399769,201004.0,745.0
2014-09-12,0.00334493,168188.0,498.0
2014-09-13,0.00395846,199041.0,366.0
2014-09-14,0.00363224,182641.0,534.0
2014-09-15,0.00414565,208460.0,1754.0
2014-09-16,0.00513037,258019.0,3668.0
2014-09-17,0.00617887,310775.0,3597.0
2014-09-18,0.0052857,265875.0,1458.0
2014-09-19,0.004916,247287.0,131.0
2014-09-20,0.00410888,206695.0,968.0
2014-09-21,0.00507525,255314.0,158.0
2014-09-22,0.00546366,274866.0,458.0
2014-09-23,0.00504703,253917.0,753.0
2014-09-24,0.00549877,276655.0,192.0
2014-09-25,0.00534487,268917.0,565.0
2014-09-26,0.00550426,276941.0,637.0
2014-09-27,0.00535682,269565.0,60.0
2014-09-28,0.00480259,241680.0,419.0
2014-09-29,0.00468306,235687.0,224.0
2014-09-30,0.00483271,243222.0,327.0
2014-10-02,0.00569322,287236.0,267.0
2014-11-29,0.00751862,383327.0,24.0
2014-11-30,0.00746618,380675.0,24.0
2014-12-01,0.00756636,385805.0,1.0
2014-12-04,0.0075369,384583.0,0.0
2014-12-05,0.00897967,458252.0,80.0
2014-12-06,0.00903125,460885.0,81.0
2014-12-07,0.00806416,411577.0,41.0
