date,prices,market_caps,total_volumes
2014-04-08,0.000400161,72057.0,905.0
2014-04-09,0.000559226,102339.0,1571.0
2014-04-10,0.000800912,148858.0,2985.0
2014-04-11,0.00111996,211358.0,12640.0
2014-04-12,0.00116686,223520.0,4047.0
2014-04-13,0.000724874,140913.0,4529.0
2014-04-14,0.000682076,134522.0,1618.0
2014-04-15,0.000597649,119571.0,2909.0
2014-04-16,0.000706885,141781.0,1573.0
2014-04-17,0.0006308,126873.0,539.0
2014-04-18,0.000612481,123531.0,1138.0
2014-04-19,0.000613668,124124.0,610.0
2014-04-20,0.000556809,112742.0,486.0
2014-04-21,0.000531983,107715.0,282.0
2014-04-22,0.000498419,101696.0,171.0
2014-04-23,0.000565058,115539.0,435.0
2014-04-24,0.000882287,180404.0,2924.0
2014-04-25,0.000809575,165536.0,980.0
2014-04-26,0.00135829,277734.0,2200.0
2014-04-27,0.000957404,195763.0,724.0
2014-04-28,0.000828921,169492.0,737.0
2014-04-29,0.000731772,149628.0,375.0
2014-04-30,0.000781924,163303.0,327.0
2014-05-01,0.000798799,167288.0,438.0
2014-05-02,0.00072926,153154.0,332.0
2014-05-03,0.000786522,165625.0,745.0
2014-05-04,0.000656844,138687.0,1136.0
2014-05-05,0.00059236,125403.0,359.0
2014-05-06,0.000619368,131486.0,477.0
2014-05-07,0.000660152,140550.0,633.0
2014-05-08,0.000764482,163194.0,1130.0
2014-05-09,0.000835705,178883.0,895.0
2014-05-10,0.000897827,192686.0,763.0
2014-05-11,0.000716606,154216.0,739.0
2014-05-12,0.000675833,145824.0,1184.0
2014-05-13,0.000748869,161991.0,750.0
2014-05-14,0.000697818,151362.0,1272.0
2014-05-15,0.00064547,140377.0,884.0
2014-05-16,0.000714211,155736.0,502.0
2014-05-17,0.000673635,147282.0,419.0
2014-05-18,0.00065119,142746.0,936.0
2014-05-19,0.000645311,141837.0,219.0
2014-05-20,0.000771156,169936.0,1316.0
2014-05-21,0.000801365,177039.0,732.0
2014-05-22,0.000907142,200932.0,1808.0
2014-05-23,0.000804703,178711.0,1133.0
2014-05-24,0.000693,154435.0,1800.0
2014-05-25,0.000504715,112524.0,2006.0
2014-05-26,0.000650698,145444.0,1057.0
2014-05-27,0.000801123,179307.0,787.0
2014-05-28,0.000644893,144903.0,637.0
2014-05-29,0.000595543,134159.0,280.0
2014-05-30,0.000813551,183739.0,753.0
2014-05-31,0.000657402,148852.0,380.0
2014-06-01,0.000683227,155084.0,1355.0
2014-06-02,0.000718937,163608.0,350.0
2014-06-03,0.000789821,180197.0,663.0
2014-06-04,0.000841611,192497.0,1099.0
2014-06-05,0.000838496,192290.0,1492.0
2014-06-06,0.00107384,246895.0,4071.0
