date,prices,market_caps,total_volumes
2014-08-02,0.0538221,861272.0,239080.0
2014-08-03,0.0596185,954047.0,72493.0
2014-08-04,0.0796325,1274355.0,97725.0
2014-08-05,0.0489387,783189.0,78836.0
2014-08-06,0.0422847,676719.0,144589.0
2014-08-07,0.0407559,652267.0,47350.0
2014-08-08,0.0282801,452609.0,92488.0
2014-08-09,0.0203587,325841.0,13081.0
2014-08-10,0.0204032,326559.0,27950.0
2014-08-11,0.0270039,432216.0,25180.0
2014-08-12,0.0284217,454921.0,14409.0
2014-08-13,0.0207154,331581.0,14429.0
2014-08-14,0.0196687,314840.0,5759.0
2014-08-15,0.0194945,312061.0,7189.0
2014-08-16,0.0178108,285118.0,3031.0
2014-08-17,0.0210724,337341.0,3526.0
2014-08-18,0.0229324,367128.0,6077.0
2014-08-19,0.0312915,500977.0,25070.0
2014-08-20,0.0264092,422823.0,9204.0
2014-08-21,0.026164139996554,418913.83617170615,2695.870362595657
2014-08-22,0.0197964737954159,316969.5178820829,7439.37095779456
2014-08-23,0.0154314291493534,247087.6577537187,3513.921072320971
2014-08-24,0.0163042874348806,261070.6579922705,3186.0133834769244
2014-08-25,0.019097300336015,305815.9939364012,710.6811377120721
2014-08-26,0.0173612467299381,278023.491248138,4697.249104781333
2014-08-27,0.0173548217501571,277932.8018817163,3904.337571715165
2014-08-28,0.0167824941666873,268776.1250054407,2362.6490268893376
2014-08-29,0.0196401036479168,314553.9556547746,4327.412360171473
2014-08-30,0.0269205574904711,431172.4360321933,8256.493193264778
2014-08-31,0.0247194322448183,395928.7484803276,4696.134274796623
2014-09-01,0.0286815616153774,459400.1443257671,7306.48589477297
2014-09-02,0.0147979564050516,237027.5985339919,14181.809634344896
2014-09-03,0.0150351596303751,240831.1722479587,14370.070919842568
2014-09-04,0.0161770110046148,259137.4362714944,12055.23994418406
2014-09-05,0.0209708478974604,335937.1712980022,75200.10186733687
2014-09-06,0.0196059749387966,314078.4644993504,27131.28089729383
2014-09-07,0.0193215924665679,309528.2208902573,14278.182062060783
2014-09-08,0.0174784903401379,280008.8410331168,10007.278341239497
2014-09-09,0.0184643741531972,295807.9706544461,7016.894281351912
2014-09-10,0.0155787727409354,249583.03139597797,8135.4265805990835
2014-09-11,0.0148342360699081,237658.40602183423,8343.935497609085
2014-09-12,0.0155762133165712,249556.2331018977,12229.208976482973
2014-09-13,0.0178653613509543,286250.27126161626,41888.74744202329
2014-09-14,0.0196680703644715,315142.00281975727,50678.17041927682
2014-09-15,0.0183785747220382,294495.5980740318,23975.29973877456
2014-09-16,0.0169726726585733,271976.81088668015,27852.31635199113
2014-09-17,0.0159144979276145,255029.4791710694,26571.765788274337
2014-09-18,0.0152832296901502,244919.44114610297,4725.801182855356
2014-09-19,0.0141465228651068,226709.24710596865,3102.178094249205
2014-09-20,0.01283060544529,205625.3357630896,2508.124208864933
2014-09-21,0.0136158153952242,218213.6475785148,2396.0133486066893
2014-09-22,0.0144296907810255,231261.88364686625,3316.640622639384
2014-09-23,0.015005425209088,240494.48574291388,1581.7631925605158
2014-09-24,0.0152103246309839,243784.42106322205,1186.16335654721
2014-09-25,0.0141506458829312,226808.1512346065,406.3530404269071
2014-09-26,0.0153050472675815,245317.91434640935,4777.908352530853
2014-09-27,0.0159139227957377,255083.83881696555,25855.17957294461
2014-09-28,0.0148492421406708,238024.263778763,5252.718468882908
2014-09-29,0.0136598051410861,218963.64393486903,7584.664950246455
2014-09-30,0.0139446468,223535.4631887132,2123.001840080103
2014-10-01,0.0129610259280396,207772.47787894396,1869.713724909355
2014-10-02,0.0137829356547444,220953.31802451925,1625.0065418236532
2014-10-03,0.0122046652428701,195658.43178915037,2901.189719407283
2014-10-04,0.0108171760768518,173418.02459219532,2453.9219503249965
2014-10-05,0.0095564327542864,153210.9087833876,8403.90908039345
2014-10-06,0.0100072534184232,160443.3519250743,751.5568035468348
2014-10-07,0.007683539865914,123193.22966844776,1951.88615882428
2014-10-08,0.0070636536221021,113260.21149885084,4238.718267056261
2014-10-09,0.0077712281114261,124610.21286074532,1559.7006164635409
2014-10-10,0.0074991703155516,120252.33816223244,1501.817431166765
2014-10-11,0.0077842782030517,124829.07447804789,672.3942786792755
2014-10-12,0.007233591773291,116002.7097157994,1621.934555685652
2014-10-13,0.0072499831860827,116269.2128523513,518.1417362390285
2014-10-14,0.005623289021967,90185.39836148602,2153.728857586752
