date,prices,market_caps,total_volumes
2016-11-14,0.04787,0.0,40250.0
2016-11-15,0.0474849,0.0,173292.0
2016-11-16,0.0474686,0.0,165986.0
2016-11-17,0.0472611,0.0,174691.0
2016-11-18,0.0470875,0.0,109794.0
2016-11-19,0.0469354,0.0,32026.0
2016-11-20,0.0468573,0.0,37019.0
2016-11-21,0.0467985,0.0,55513.0
2016-11-22,0.0467114,0.0,122469.0
2016-11-23,0.0466859,0.0,47841.0
2016-11-24,0.045652,0.0,149585.0
2016-11-25,0.0452713,0.0,104415.0
2016-11-26,0.0464317,0.0,4414.0
2016-11-27,0.04651,0.0,6.0
2016-11-28,0.0461895,0.0,68.0
2016-11-29,0.0464801,1394403.0,556.0
2016-11-30,0.0457254,1371762.0,53045.0
2016-12-01,0.0457268,1371804.0,50987.0
2016-12-02,0.0467294,1401882.0,7131.0
2016-12-03,0.0467457,1402371.0,7115.0
2016-12-04,0.04678,1403400.0,2140.0
2016-12-12,0.0475,1425000.0,265630.0
2016-12-13,0.048415,1452450.0,633687.0
2016-12-14,0.057497,1724910.0,12883.0
2016-12-15,0.0485169999999999,1455509.9999999998,743.0
2016-12-16,0.048034,1441020.0,11528.0
2016-12-17,0.052369,1571070.0,142.0
2016-12-18,0.0480649999999999,1441949.9999999998,60.0
2016-12-19,0.04845,1453500.0,2453.0
2016-12-20,0.04816,1444800.0,2451.0
2016-12-21,0.050001,1500030.0,12697.0
2016-12-22,0.049243,1477290.0,1503.0
2016-12-23,0.048306,1449180.0,1959.0
2016-12-24,0.048131,1443930.0,700.0
2016-12-25,0.047311,1419330.0,1203.0
2016-12-26,0.048361,1450830.0,3578.0
2016-12-27,0.0488849999999999,1466549.9999999998,8973.0
2016-12-28,0.048415,1452450.0,12592.0
2016-12-29,0.049365,1480950.0,7970.0
2016-12-30,0.049966,1498980.0,11537.0
2016-12-31,0.049859,1495770.0,9634.0
2017-01-01,0.050584,1517520.0,16089.0
2017-01-02,0.048926,1467780.0,20089.0
2017-01-03,0.048878,1466340.0,7402.0
2017-01-04,0.049305,1479150.0,30722.0
2017-01-05,0.049889,1496670.0,25877.0
2017-01-06,0.051184,1535520.0,30541.0
2017-01-07,0.048517,1455510.0,2361.0
2017-01-08,0.048392,1451760.0,2346.0
2017-01-09,0.049163,1474890.0,5131.0
2017-01-10,0.048802,1464060.0,1829.0
2017-01-11,0.048576,1457280.0,10863.0
2017-01-12,0.040193,1205790.0,7404.0
2017-01-13,0.049935,1498050.0,3562.0
2017-01-14,0.049895,1496850.0,4501.0
2017-01-15,0.0498909999999999,1496729.9999999998,4576.0
2017-01-16,0.04969,1490700.0,791.0
2017-01-17,0.050019,1500570.0,3271.0
2017-01-18,0.050043,1501290.0,3203.0
2017-01-19,0.049765,1492950.0,2811.0
2017-01-20,0.049984,1499520.0,1539.0
2017-01-21,0.0503079999999999,1509239.9999999998,7425.0
2017-01-22,0.050331,1509930.0,1059.0
2017-01-23,0.05002,1500600.0,5078.0
2017-01-24,0.050323,1509690.0,1727.0
2017-01-25,0.045855,1375650.0,77136.0
2017-01-26,0.049694,1490820.0,40748.0
2017-01-27,0.050068,1502040.0,6907.0
2017-01-28,0.050849,1525470.0,28392.0
2017-01-29,0.050543,1516290.0,5203.0
2017-01-30,0.050905,1527150.0,3229.0
2017-01-31,0.051072,1532160.0,7498.0
2017-02-01,0.050834,1525020.0,3403.0
2017-02-02,0.051284,1538520.0,32513.0
2017-02-03,0.051143,1534290.0,19510.0
2017-02-04,0.050767,1523010.0,8906.0
2017-02-05,0.05075,1522500.0000000002,8151.0
2017-02-06,0.051428,1542840.0,17911.0
2017-02-07,0.051669,1550070.0,25008.0
2017-02-08,0.051702,1551060.0,12924.0
2017-02-09,0.051371,1541130.0,25958.0
2017-02-10,0.049307,1479210.0,94924.0
2017-02-11,0.049138,1474140.0,4789.0
2017-02-12,0.049125,1473750.0,13644.0
2017-02-13,0.048993,1469790.0,8947.0
2017-02-14,0.048878,1466340.0,4806.0
2017-02-15,0.048804,1464120.0,3965.0
2017-02-16,0.048596,1457880.0,10112.0
2017-02-17,0.046522,1395660.0,33887.0
2017-02-18,0.047787,1433610.0,12188.0
2017-02-19,0.047843,1435290.0,12092.0
2017-02-20,0.0479979999999999,1439939.9999999998,7101.0
2017-02-21,0.0479979999999999,1439939.9999999998,7101.0
2017-02-22,0.0479979999999999,1439939.9999999998,7101.0
2017-02-23,0.0479979999999999,1439939.9999999998,7101.0
2017-02-24,0.047535,1426050.0,3330.0
2017-02-25,0.047477,1424310.0,2048.0
2017-02-26,0.04742,1422600.0,8664.0
2017-02-27,0.047355,1420650.0,13623.0
2017-02-28,0.047447,1423410.0,4126.0
2017-03-01,0.0475249999999999,1425749.9999999998,6771.0
2017-03-02,0.047367,1421010.0,2539.0
2017-03-03,0.04709,1412700.0,6311.0
2017-03-04,0.047051,1411530.0,5146.0
2017-03-05,0.047202,1416060.0000000002,7496.0
2017-03-06,0.0472499999999999,1417499.9999999998,7748.0
2017-03-07,0.047156,1414680.0,5913.0
2017-03-08,0.045954,1378620.0,27313.0
2017-03-09,0.046424,1392720.0,21882.0
2017-03-10,0.047753,1432590.0,13609.0
2017-03-11,0.04762,1428600.0,9147.0
2017-03-12,0.047553,1426590.0,1715.0
2017-03-13,0.047989,1439670.0,6466.0
2017-03-14,0.047796,1433880.0,1364.0
2017-03-15,0.048081,1442430.0,13986.0
2017-03-16,0.048519,1455570.0,13112.0
2017-03-17,0.048697,1460910.0,14823.0
2017-03-18,0.048804,1464120.0,9523.0
2017-03-19,0.048696,1460880.0,4511.0
2017-03-20,0.048416,1452480.0000000002,6781.0
2017-03-21,0.048821,1464630.0,21200.0
2017-03-22,0.049106,1473180.0,19673.0
2017-03-23,0.050443,1513290.0,25429.0
2017-03-24,0.050702,1521060.0,22333.0
2017-03-25,0.050419,1512570.0,8169.0
2017-03-26,0.0504239999999999,1512719.9999999998,4539.0
2017-03-27,0.050505,1515150.0,6022.0
2017-03-28,0.050433,1512990.0,4298.0
2017-03-29,0.050357,1510710.0,5276.0
2017-03-30,0.049991,1499730.0,3702.0
2017-03-31,0.05016,1504800.0,6032.0
2017-04-01,0.050153,1504590.0,4043.0
2017-04-02,0.049962,1498860.0,1677.0
2017-04-03,0.050287,1508610.0,7368.0
2017-04-04,0.050473,1514190.0,6636.0
2017-04-05,0.049905,1497150.0,8947.0
2017-04-06,0.051099,1532970.0,19740.0
2017-04-07,0.05136,1540800.0,15184.0
2017-04-08,0.051313,1539390.0,9830.0
2017-04-09,0.051313,1539390.0,9219.0
2017-04-10,0.05193,1557900.0,5961.0
2017-04-11,0.052708,1581240.0,20622.0
2017-04-12,0.055309,5229292.003195,70003.0
2017-04-13,0.05807,5557223.509,57297.0
2017-04-14,0.063506,6109470.8933,8242.0
2017-04-15,0.064305,6185848.02642,34742.0
2017-04-16,0.065307,5735182.567521,17815.0
2017-04-17,0.070491,6259228.537029,32801.0
2017-04-18,0.081693,9871945.832772,69494.0
2017-04-19,0.095704,11634409.025064,190427.0
2017-04-20,0.103658,13218944.053878,137020.0
2017-04-21,0.113494,14736821.142812,164387.0
2017-04-22,0.129729,16996805.451891,114859.0
2017-04-23,0.14729,19506728.94885,239065.0
2017-04-24,0.154961,20814662.609223,160769.0
2017-04-25,0.146482,19661908.114058,281911.0
2017-04-26,0.146633,19690974.441877,246905.0
2017-04-27,0.140992,18895593.45376,207608.0
2017-04-28,0.134633,18045460.780015,113364.0
2017-04-29,0.134712,18055173.87396,58246.0
2017-04-30,0.134967,18095822.400201,40604.0
2017-05-01,0.12128,16260725.51584,193743.0
2017-05-02,0.137083,18372590.748232,261596.0
2017-05-03,0.138134,18568704.942736,89138.0
2017-05-04,0.143328,19268343.251712,62739.0
2017-05-05,0.146344,19863461.074512,74157.0
2017-05-06,0.146315,19859524.86687,72026.0
2017-05-07,0.147459,20020943.728968,48185.0
2017-05-08,0.154188,20934559.922976,66409.0
2017-05-09,0.152043,20642445.091536,80034.0
2017-05-10,0.156598,21260864.468896,75232.0
2017-05-11,0.166831,22936232.84904,162650.0
2017-05-12,0.168446,28486586.445422,75253.0
2017-05-13,0.167887,24728455.486733,57460.0
2017-05-14,0.170402,25098895.518118,51456.0
2017-05-15,0.170096,25053824.086864,104747.0
2017-05-16,0.171065,25196550.285835,87624.0
2017-05-17,0.177868,26196551.828612,50653.0
2017-05-18,0.193992,28612013.740488,205245.0
2017-05-19,0.192533,28395033.690738,175250.0
2017-05-20,0.195979,28903254.546894,84653.0
2017-05-21,0.200555,29578129.36923,83031.0
2017-05-22,0.198794,29346245.808484,260749.0
2017-05-23,0.201379,29714958.835294,196769.0
2017-05-24,0.222199,32786392.575014,288712.0
2017-05-25,0.219346,32436973.560362,403750.0
2017-05-26,0.241163,35663401.004374,471582.0
2017-05-27,0.240002,33094637.066344,445745.0
2017-05-28,0.245292,33825343.426008,25891.0
2017-05-29,0.243253,33527631.776623,537795.0
2017-05-30,0.239716,33017747.350176,324455.0
2017-05-31,0.240965,33188594.030615,247457.0
2017-06-01,0.258932,35648697.174528,633637.0
2017-06-02,0.277235,38133158.03843,517813.0
2017-06-03,0.287541,39510737.658837,284595.0
2017-06-04,0.292156,40155893.569468,221381.0
2017-06-05,0.306355,42083384.66878,391702.0
2017-06-06,0.329605,47227309.706035,719732.0
2017-06-07,0.341625,49058969.98575,681296.0
2017-06-08,0.352605,51444385.798905,730355.0
2017-06-09,0.373638,55088134.92903,1048790.0
2017-06-10,0.391921,57631240.751626,801438.0
2017-06-11,0.391994,57645037.520492,807497.0
2017-06-12,0.376587,55360664.887383,1894870.0
2017-06-13,0.384448,61745448.988672,1350050.0
2017-06-14,0.389055,62547666.215175,1419030.0
2017-06-15,0.37906,60996828.05744,1640960.0
2017-06-16,0.396746,63842723.394814,717008.0
2017-06-17,0.404384,65071778.102272,543117.0
2017-06-18,0.396328,64565293.917736,476122.0
2017-06-19,0.405298,66029645.288526,899770.0
2017-06-20,0.410039,66842330.858191,1089430.0
2017-06-21,0.395645,64519225.98556,1336950.0
2017-06-22,0.381882,62351384.101428,837238.0
2017-06-23,0.394371,64469419.445727,622202.0
2017-06-24,0.393537,64333079.737647,631857.0
2017-06-25,0.367761,60119366.127132,960694.0
2017-06-26,0.339279,55056164.517348,1489130.0
2017-06-27,0.337983,54846455.965689,1179480.0
2017-06-28,0.383313,62216009.104746,1353970.0
2017-06-29,0.377936,61317510.509216,762950.0
2017-06-30,0.368972,59863806.7942,478924.0
2017-07-01,0.351814,57080009.306086,538338.0
2017-07-02,0.369165,59892535.526085,489515.0
2017-07-03,0.364145,59078101.524105,507365.0
2017-07-04,0.367599,59638471.054551,986934.0
2017-07-05,0.356704,57870889.689696,503142.0
2017-07-06,0.348178,56487649.789122,409818.0
2017-07-07,0.319145,51777398.319105,602079.0
2017-07-08,0.325044,52734439.390356,248229.0
2017-07-09,0.320098,51932010.989202,159851.0
2017-07-10,0.267239,43356280.528911,831196.0
2017-07-11,0.235903,38272395.292647,1026430.0
2017-07-12,0.274345,44509142.683905,1053560.0
2017-07-13,0.269874,43783777.261026,402527.0
2017-07-14,0.268052,43488179.900148,289231.0
2017-07-15,0.253893,62417995.285779,220464.0
2017-07-16,0.248708,62262517.00226,494958.0
2017-07-17,0.252525,63226057.986,703645.0
2017-07-18,0.24763,61998640.96439,678445.0
2017-07-19,0.24301,60841940.55953,439274.0
2017-07-20,0.254786,63822107.459712,414097.0
2017-07-21,0.253059,63389506.062528,234198.0
2017-07-22,0.257139,64410584.312457,105674.0
2017-07-23,0.253727,63554634.553186,166452.0
2017-07-24,0.251831,63079775.970205,124155.0
2017-07-25,0.243485,60990688.15796,198134.0
2017-07-26,0.240329,60200140.026344,104238.0
2017-07-27,0.23884,59827159.61824,65703.0
2017-07-28,0.235984,59111757.939472,189710.0
2017-07-29,0.234899,58844231.141451,135705.0
2017-07-30,0.236501,59331367.480029,126813.0
2017-07-31,0.245663,61875817.83988,60797.0
2017-08-01,0.246035,61969514.5066,12055.0
2017-08-02,0.247946,62450843.35096,231921.0
2017-08-03,0.253546,63919989.181152,291346.0
2017-08-04,0.303789,78115690.717587,637694.0
2017-08-05,0.378069,98718429.476007,1902740.0
2017-08-06,0.361153,94300309.872743,681562.0
2017-08-07,0.336176,87777437.194128,751358.0
2017-08-08,0.350105,91413849.880185,750370.0
2017-08-09,0.349421,91289131.901827,437356.0
2017-08-10,0.355887,92978427.985569,369458.0
2017-08-11,0.376636,98390776.261284,796099.0
2017-08-12,0.381279,99606033.995103,538225.0
