date,prices,market_caps,total_volumes
2014-04-28,0.014875,6731717.0,6038.0
2014-04-29,0.0187345,8478343.0,22299.0
2014-04-30,0.0163707,7408600.0,16859.0
2014-05-01,0.0155978,7058822.0,14602.0
2014-05-02,0.0129949,5880873.0,9951.0
2014-05-03,0.0143923,6513270.0,6773.0
2014-05-04,0.0118422,5359216.0,11817.0
2014-05-05,0.0128195,5801496.0,14023.0
2014-05-06,0.0131037,5930111.0,5030.0
2014-05-07,0.012896,5836116.0,10638.0
2014-05-08,0.0144899,6557439.0,9781.0
2014-05-09,0.0143197,6480415.0,14010.0
2014-05-10,0.0137448,6220242.0,10553.0
2014-05-11,0.0126464,5723159.0,3026.0
2014-05-12,0.0131034,5929975.0,5797.0
2014-05-13,0.0127005,5747642.0,6935.0
2014-05-14,0.01317,5960115.0,1942.0
2014-05-15,0.0123331,5581374.0,2146.0
2014-05-16,0.0131165,5935904.0,1794.0
2014-05-17,0.0124545,5636314.0,5781.0
2014-05-18,0.0136953,6197841.0,11284.0
2014-05-19,0.0134764,6098777.0,5969.0
2014-05-20,0.0116166,5257120.0,17023.0
2014-05-21,0.0113806,5150318.0,3265.0
2014-05-22,0.011107,5026500.0,10627.0
2014-05-23,0.0123025,5567526.0,12860.0
2014-05-24,0.014682,6644465.0,1220.0
2014-05-25,0.0147686,6683566.0,1227.0
2014-05-26,0.0147891,6692843.0,4296.0
2014-05-27,0.014207,6429412.0,2459.0
2014-05-28,0.0140352,6351664.0,11806.0
2014-05-29,0.0136339,6170054.0,6899.0
2014-05-30,0.0132062,5976498.0,4401.0
2014-05-31,0.0133315,6033203.0,8007.0
2014-06-01,0.0155989,7059320.0,20511.0
2014-06-02,0.0158553,7175354.0,16950.0
2014-06-03,0.0131948,5971339.0,9870.0
2014-06-04,0.0133972,6062935.0,11153.0
2014-06-05,0.0147148,6659218.0,7987.0
2014-06-06,0.018268,8267047.0,6240.0
2014-06-07,0.017359,7855857.0,9506.0
2014-06-08,0.0189225,8563423.0,6409.0
2014-06-09,0.0189062,8556046.0,2604.0
2014-06-10,0.0185365,8388738.0,8028.0
2014-06-11,0.0181434,8210840.0,4054.0
2014-06-12,0.0182623,8264648.0,8247.0
2014-06-13,0.016976,7682530.0,5919.0
2014-06-14,0.016962,7676194.0,2812.0
2014-06-15,0.0146769,6642067.0,12037.0
2014-06-16,0.0181494,8213555.0,13106.0
2014-06-17,0.0161826,7323475.0,12186.0
2014-06-18,0.0155986,7059184.0,5185.0
2014-06-19,0.0153422,6943150.0,8645.0
2014-06-20,0.0149053,6745430.0,4290.0
2014-06-21,0.0133406,6037321.0,20638.0
2014-06-22,0.0139983,6334964.0,2227.0
2014-06-23,0.01298,5874130.0,4070.0
2014-06-24,0.0146696,6638763.0,317.0
2014-06-25,0.0140242,6346686.0,2339.0
2014-06-26,0.0148305,6711579.0,7812.0
2014-06-27,0.0146848,6645642.0,2764.0
2014-06-28,0.01508,6824581.0,1800.0
2014-06-29,0.015188,6873366.0,1813.0
2014-06-30,0.0161316,7300395.0,1074.0
2014-07-01,0.0173695,7860609.0,1474.0
2014-07-02,0.016739,7575320.0,3866.0
2014-07-03,0.017728,8022849.159936,5189.999999999999
2014-07-04,0.019016,8605736.666592004,27695.0
2014-07-05,0.017552,7943199.935424,7191.000000000001
2014-07-06,0.020747,9389104.891764,21897.000000000004
2014-07-07,0.019977,9040639.534524005,9109.999999999998
2014-07-08,0.02009,9091777.95708,16634.0
2014-07-09,0.020079,9086799.880548,16625.000000000004
2014-07-10,0.020079,9086799.880548,16625.000000000004
2014-07-11,0.020079,9086799.880548,16625.0
2014-07-12,0.020079,9086799.880548,16625.0
2014-07-13,0.020079,9086799.880548,16625.000000000004
2014-07-14,0.020079,9086799.880548,16625.0
2014-07-15,0.020079,9086799.880548,16625.0
2014-07-16,0.020079,9086799.880548,16624.999999999996
2014-07-17,0.020079,9086799.880548,16625.0
2014-07-18,0.032629,14766319.208,20267.000000000004
2014-07-19,0.035554,16090033.808,44295.99999999999
2014-07-20,0.034303,15523891.256,6606.0
2014-07-21,0.030701,13893798.952,15664.999999999996
2014-07-22,0.029056,13149350.912,26805.0
2014-07-23,0.02791,12630726.32,27741.0
