date,prices,market_caps,total_volumes
2013-07-07,0.00249166,30314.0,0.0
2013-07-08,0.00271964,33088.0,0.0
2013-07-09,0.004704,57230.0,0.0
2013-07-10,0.00443032,53900.0,0.0
2013-07-11,0.0052116,63406.0,0.0
2013-07-12,0.0042667,51910.0,0.0
2013-07-13,0.00530784,64577.0,0.0
2013-07-14,0.0047755,62566.0,0.0
2013-07-16,0.0053526,70127.0,0.0
2013-07-17,0.00566577,68931.0,0.0
2013-07-18,0.00498561,65319.0,0.0
2013-07-19,0.00705349,92411.0,0.0
2013-07-20,0.00782,102454.0,0.0
2013-07-21,0.0113577,148803.0,0.0
2013-07-22,0.0155281,203441.0,0.0
2013-07-23,0.013488,203999.0,0.0
2013-07-25,0.0127588,196116.0,0.0
2013-07-26,0.0115833,178047.0,0.0
2013-07-27,0.0131586,202261.0,0.0
2013-07-28,0.0109112,167716.0,0.0
2013-07-29,0.0080328,123472.0,0.0
2013-07-30,0.00909535,139805.0,0.0
2013-07-31,0.00761251,117012.0,0.0
2013-08-01,0.0072697,114718.0,0.0
2013-08-02,0.00672178,106071.0,0.0
2013-08-03,0.00696592,109924.0,0.0
2013-08-04,0.00701699,110730.0,0.0
2013-08-05,0.00740581,116866.0,0.0
2013-08-06,0.0063494,100195.0,0.0
2013-08-07,0.0055916,88237.0,0.0
2013-08-08,0.00530706,83747.0,0.0
2013-08-09,0.00530964,83787.0,0.0
2013-08-10,0.00604934,95460.0,0.0
2013-08-11,0.00689471,108800.0,0.0
2013-08-12,0.00735349,116040.0,0.0
2013-08-13,0.0067762,106930.0,0.0
2013-08-14,0.00696756,109950.0,0.0
2013-08-15,0.0068154,107549.0,0.0
2013-08-16,0.00613408,96797.0,0.0
2013-08-17,0.00583112,92017.0,0.0
2013-08-18,0.00575599,90831.0,0.0
2013-08-19,0.00579102,91384.0,0.0
2013-08-20,0.00511269,80680.0,0.0
2013-08-21,0.0046371,73175.0,0.0
2013-08-22,0.00562311,88734.0,0.0
2013-08-23,0.00651861,102865.0,0.0
2013-08-24,0.00723723,114205.0,0.0
2013-08-25,0.00550379,86851.0,0.0
2013-08-26,0.00662819,104594.0,0.0
2013-08-27,0.00514796,81236.0,0.0
2013-08-28,0.00624579,98560.0,0.0
2013-08-29,0.00542872,94196.0,0.0
2013-08-30,0.00554463,96698.0,0.0
2013-08-31,0.00611867,107013.0,0.0
2013-09-01,0.0059422,103936.0,0.0
2013-09-02,0.00593504,104324.0,0.0
2013-09-03,0.0059345,104645.0,0.0
2013-09-04,0.00613575,108737.0,0.0
2013-09-05,0.00534041,94932.0,0.0
2013-09-06,0.00553382,98823.0,0.0
2013-09-07,0.00526312,94326.0,0.0
2013-09-08,0.00621,111827.0,0.0
2013-09-09,0.00568527,102655.0,0.0
2013-09-11,0.00728976,132808.0,0.0
2013-09-12,0.00875003,160088.0,0.0
2013-09-14,0.00828273,151967.0,0.0
2013-09-15,0.00905183,166086.0,0.0
2013-09-16,0.00791228,145178.0,0.0
2013-09-17,0.00812035,148997.0,0.0
2013-09-18,0.00788042,144596.0,0.0
2013-09-19,0.00826056,151583.0,0.0
2013-09-20,0.00839147,153988.0,0.0
2013-09-21,0.00906371,166325.0,0.0
2013-09-22,0.0097882,179621.0,0.0
2013-09-23,0.0140871,258511.0,0.0
2013-09-24,0.0121613,223175.0,0.0
2013-09-25,0.0128853,236466.0,0.0
2013-09-26,0.0125342,230031.0,0.0
2013-09-27,0.0147386,270499.0,0.0
2013-10-03,0.0160799,309606.0,0.0
2013-10-04,0.015414,297430.0,0.0
2013-10-05,0.0142434,275469.0,0.0
2013-10-06,0.012072,233932.0,0.0
2013-10-07,0.0116593,226430.0,0.0
2013-10-08,0.0111805,217591.0,0.0
2013-10-09,0.0144441,281831.0,0.0
2013-10-10,0.0144404,282365.0,0.0
2013-10-11,0.0136965,268391.0,0.0
2013-10-12,0.0135124,265384.0,0.0
2013-10-13,0.0120483,237101.0,0.0
2013-10-14,0.0111298,219508.0,0.0
2013-10-15,0.0117882,233003.0,0.0
2013-10-16,0.0123354,244358.0,0.0
2013-10-17,0.0127857,253807.0,0.0
2013-10-18,0.0128035,254719.0,0.0
2013-10-19,0.0099878,199150.0,0.0
2013-10-22,0.0115254,230709.0,0.0
2013-10-23,0.0106467,213424.0,0.0
2013-10-24,0.0104066,208916.0,0.0
2013-10-25,0.0124789,250873.0,0.0
2013-10-26,0.0119062,239652.0,0.0
2013-10-27,0.0119612,241129.0,0.0
2013-10-28,0.0124588,251524.0,0.0
2013-10-29,0.0120799,244247.0,0.0
2013-10-30,0.0120344,243636.0,0.0
2013-10-31,0.0124668,252724.0,0.0
2013-11-01,0.0134656,273390.0,0.0
2013-11-02,0.0128121,260465.0,0.0
2013-11-03,0.0131554,267815.0,0.0
2013-11-04,0.0124271,253300.0,0.0
2013-11-05,0.0144075,294121.0,0.0
2013-11-06,0.0145422,297293.0,0.0
2013-11-07,0.0146743,300369.0,0.0
2013-11-08,0.0178566,366039.0,0.0
2013-11-09,0.0161154,330792.0,0.0
2013-11-10,0.014202,291955.0,0.0
2013-11-11,0.0149728,308225.0,0.0
2013-11-12,0.0146892,302822.0,0.0
2013-11-13,0.013761,284076.0,0.0
2013-11-14,0.0135446,279983.0,0.0
2013-11-15,0.0139791,289386.0,0.0
2013-11-16,0.0142886,296193.0,0.0
2013-11-17,0.0151412,314309.0,0.0
2013-11-18,0.016018,332969.0,0.0
2013-11-19,0.0224902,468139.0,0.0
2013-11-20,0.0256689,535077.0,0.0
2013-11-21,0.0414895,866124.0,0.0
2013-11-22,0.0420363,878672.0,0.0
2013-11-23,0.0757676,1586297.0,0.0
2013-11-24,0.115059,2412615.0,0.0
2013-11-25,0.267718,5623082.0,0.0
2013-11-26,0.394548,8291919.0,0.0
2013-11-27,0.554603,11664078.0,0.0
2013-11-28,0.559471,11773648.0,0.0
2013-11-29,1.47224,31008098.0,0.0
2013-11-30,2.60243,54852848.0,0.0
2013-12-01,1.54775,32643403.0,0.0
2013-12-02,1.29161,27259881.0,0.0
2013-12-03,1.3364,28225837.0,0.0
2013-12-04,1.76952,37399867.0,0.0
2013-12-05,1.79134,37888095.0,0.0
2013-12-06,1.27917,27073152.0,0.0
2013-12-07,1.00053,21189575.0,0.0
2013-12-08,0.958283,20308604.0,0.0
2013-12-09,1.03489,21946577.0,0.0
2013-12-10,1.28017,27167353.0,0.0
2013-12-11,1.04718,22238568.0,0.0
2013-12-12,1.0241,21763815.0,0.0
2013-12-13,0.970497,20638929.0,0.0
2013-12-14,0.841361,17904162.0,0.0
2013-12-15,0.874359,18619300.0,0.0
2013-12-17,0.428606,9136701.0,0.0
2013-12-18,0.320156,6828999.0,0.0
2013-12-19,0.508038,10844337.0,0.0
2013-12-20,0.660662,14111707.0,0.0
2013-12-21,0.474729,10147296.0,0.0
2013-12-22,0.538243,11512897.0,0.0
2013-12-23,0.493866,10570955.0,0.0
2013-12-24,0.490155,10498324.0,0.0
2013-12-25,0.512866,10991949.0,0.0
2013-12-26,0.747097,16023512.0,0.0
2013-12-27,0.859693,18450625.0,95013.0
2013-12-28,0.834136,17915490.0,50478.0
2013-12-29,0.826791,17770922.0,43671.0
2013-12-30,0.872403,18762705.0,41399.0
2013-12-31,0.892393,19206394.0,29866.0
2014-01-01,0.849691,18299900.0,30371.0
2014-01-02,0.849251,18304226.0,27973.0
2014-01-03,0.812011,17513656.0,24354.0
2014-01-04,0.851743,18384041.0,20401.0
2014-01-05,0.830328,17933217.0,22667.0
2014-01-06,0.870232,18796184.0,26956.0
2014-01-07,0.984145,21271113.0,65154.0
2014-01-08,0.66758,14438053.0,20736.0
2014-01-09,0.762535,16503716.0,29368.0
2014-01-10,0.756521,16384487.0,15414.0
2014-01-11,0.831572,18021995.0,16904.0
2014-01-12,0.841452,18248948.0,12726.0
2014-01-13,0.774542,16810756.0,6461.0
2014-01-14,0.730151,15859154.0,14270.0
2014-01-15,0.759466,16509993.0,25452.0
2014-01-16,0.764427,16627931.0,16842.0
2014-01-17,0.716305,15592186.0,18858.0
2014-01-18,0.730793,15917695.0,7356.0
2014-01-19,0.737201,16067573.0,4296.0
2014-01-20,0.663246,14465329.0,19220.0
2014-01-21,0.655958,14314545.0,33936.0
2014-01-22,0.630266,13764348.0,26252.0
2014-01-23,0.663224,14493766.0,80952.0
2014-01-24,0.582672,12741230.0,43007.0
2014-01-25,0.634551,13884706.0,35474.0
2014-01-26,0.647637,14180919.0,33748.0
2014-01-27,0.564667,12373859.0,19479.0
2014-01-28,0.582478,12771937.0,14257.0
2014-01-29,0.588541,12913341.0,17348.0
2014-01-30,0.593522,13031146.0,31265.0
2014-01-31,0.610439,13411880.0,10709.0
2014-02-01,0.632894,13914586.0,17182.0
2014-02-02,0.622809,13702593.0,37778.0
2014-02-03,0.598884,13184521.0,22674.0
2014-02-04,0.605044,13328726.0,17327.0
2014-02-05,0.595305,13122322.0,23764.0
2014-02-06,0.525223,11585133.0,21126.0
2014-02-07,0.516276,11395915.0,23845.0
2014-02-08,0.469259,10364700.0,22562.0
2014-02-09,0.52467,11596164.0,84214.0
2014-02-10,0.493704,10918746.0,270886.0
2014-02-11,0.471468,10432738.0,207324.0
2014-02-12,0.449809,9960211.0,223741.0
2014-02-13,0.415208,9200096.0,186477.0
2014-02-14,0.413694,9172579.0,405916.0
2014-02-15,0.402854,8938021.0,215707.0
2014-02-16,0.37806,8392970.0,137602.0
2014-02-17,0.397341,8827456.0,134113.0
2014-02-18,0.377468,8391709.0,133391.0
2014-02-19,0.374207,8324637.0,105451.0
2014-02-20,0.341401,7599552.0,216224.0
2014-02-21,0.314864,7012982.0,160647.0
2014-02-22,0.404488,9015411.0,311680.0
2014-02-23,0.417789,9317562.0,470257.0
2014-02-24,0.366271,8174436.0,259144.0
2014-02-25,0.343995,7680969.0,405333.0
2014-02-26,0.346658,7741835.0,410333.0
2014-02-27,0.361599,8080716.0,173428.0
2014-02-28,0.34548,7725443.0,123770.0
2014-03-01,0.326262,7300333.0,96259.0
2014-03-02,0.318061,7121752.0,123784.0
2014-03-03,0.281191,6300175.0,100764.0
2014-03-04,0.340187,7627095.0,481881.0
2014-03-05,0.322867,7243828.0,28021.0
2014-03-06,0.322438,7238894.0,20386.0
2014-03-07,0.296179,6653757.0,66604.0
2014-03-08,0.257327,5784357.0,160062.0
2014-03-09,0.244094,5490241.0,156024.0
2014-03-10,0.254384,5725433.0,84844.0
2014-03-11,0.237827,5356245.0,80388.0
2014-03-12,0.231709,5221753.0,64739.0
2014-03-13,0.225826,5092551.0,55523.0
2014-03-14,0.219919,4962280.0,80670.0
2014-03-15,0.187533,4233904.0,186882.0
2014-03-16,0.183485,4145316.0,115840.0
2014-03-17,0.155182,3508137.0,109920.0
2014-03-18,0.171838,3887186.0,212763.0
2014-03-19,0.193352,4376677.0,161118.0
2014-03-20,0.169051,3829022.0,69314.0
2014-03-21,0.162212,3676462.0,70468.0
2014-03-22,0.152289,3453701.0,175278.0
2014-03-23,0.152896,3469837.0,33990.0
2014-03-24,0.14501,3292927.0,29662.0
2014-03-25,0.154719,3515707.0,29594.0
2014-03-26,0.151607,3447236.0,15658.0
2014-03-27,0.126969,2889414.0,125291.0
2014-03-28,0.108662,2474291.0,71386.0
2014-03-29,0.109343,2491509.0,32776.0
2014-03-30,0.103575,2361417.0,36003.0
2014-03-31,0.102727,2342486.0,29092.0
2014-04-01,0.091401303159,2133260.0,39677.0
2014-04-02,0.08759487815,1382621.0,65965.0
2014-04-03,0.060673525362,1361741.0,45919.0
2014-04-04,0.065796713136,1418660.0,37841.0
2014-04-05,0.06865478543,1517576.0,22240.0
2014-04-06,0.069607586052,1571836.0,31626.0
2014-04-07,0.0692785,1586679.0,30121.0
2014-04-08,0.067934445678,1568261.0,18449.0
