date,prices,market_caps,total_volumes
2015-09-05,0.078166,0.0,1042.0
2015-09-06,0.146148,0.0,903.0
2015-09-07,0.0978766,0.0,1386.0
2015-09-08,0.0711843,0.0,660.0
2015-09-09,0.0616863,0.0,595.0
2015-09-10,0.0276829,0.0,111.0
2015-09-11,0.0299278,0.0,297.0
2015-09-12,0.0334907,0.0,380.0
2015-09-13,0.0306027,0.0,166.0
2015-09-14,0.0301324,0.0,167.0
2015-09-15,0.0404254,0.0,658.0
2015-09-16,0.030979,0.0,1681.0
2015-09-17,0.0368956,0.0,857.0
2015-09-18,0.0436418,0.0,2605.0
2015-09-19,0.0427512,0.0,974.0
2015-09-20,0.0395826,20240.0,348.0
2015-09-21,0.0310831,16369.0,778.0
2015-09-22,0.0324519,17497.0,210.0
2015-09-23,0.0300565,16622.0,852.0
2015-09-24,0.0258883,14671.0,243.0
2015-09-25,0.0209229,12188.0,1007.0
2015-09-26,0.0159182,9474.0,251.0
2015-09-27,0.00749941,4577.0,306.0
2015-09-28,0.0101553,6347.0,188.0
2015-09-29,0.0108401,6937.0,177.0
2015-09-30,0.0106583,6977.0,94.0
2015-10-01,0.0103067,6924.0,186.0
2015-10-02,0.0102173,7028.0,215.0
2015-10-03,0.0106943,7519.0,109.0
2015-10-04,0.0101759,7306.0,144.0
2015-10-05,0.0105229,7717.0,117.0
2015-10-06,0.00926409,6944.0,206.0
2015-10-07,0.00904021,6910.0,111.0
2015-10-08,0.00902155,7032.0,94.0
2015-10-09,0.00973656,7737.0,131.0
2015-10-10,0.00977875,7919.0,116.0
2015-10-11,0.00867726,7160.0,173.0
2015-10-12,0.0104124,8752.0,939.0
2015-10-13,0.011699,10022.0,422.0
2015-10-14,0.010038,8753.0,65.0
2015-10-15,0.00993677,8815.0,743.0
2015-10-16,0.0102571,9259.0,355.0
2015-10-17,0.00958469,8801.0,259.0
2015-10-18,0.00949822,8840.0,422.0
2015-10-19,0.00941615,8911.0,60.0
2015-10-20,0.00885305,8498.0,370.0
2015-10-21,0.00871391,8365.0,199.0
2015-10-22,0.00729723,7005.0,71.0
2015-10-23,0.00689868,6622.0,172.0
2015-10-24,0.00620515,5956.0,99.0
2015-10-25,0.00671567,6446.0,54.0
2015-10-26,0.00623409,5984.0,70.0
2015-10-27,0.00575692,5526.0,38.0
2015-10-28,0.00545928,5240.0,78.0
2015-10-29,0.00442322,4246.0,78.0
2015-10-30,0.00389687,3740.0,144.0
2015-10-31,0.00389704,3741.0,2.0
2015-11-01,0.00514645,4940.0,64.0
2015-11-02,0.00473513,4545.0,81.0
2015-11-03,0.00469708,0.0,51.0
2015-11-04,0.00296731,0.0,50.0
2015-11-05,0.00324867,0.0,17.0
2015-11-06,0.00359473,0.0,8.0
2015-11-07,0.00393046,0.0,26.0
2015-11-08,0.00371006,0.0,8.0
2015-11-09,0.00345277,0.0,102.0
2015-11-10,0.00224548,0.0,121.0
2015-11-11,0.0031505,0.0,1.0
2015-11-12,0.00301318,0.0,18.0
2015-11-13,0.00390453,0.0,25.0
2015-11-14,0.00251485,0.0,1.0
2015-11-15,0.00374447,0.0,32.0
2015-11-16,0.00274927,0.0,7.0
2015-11-17,0.00389545,0.0,5.0
2015-11-18,0.00319683,0.0,8.0
2015-11-19,0.00270952,0.0,71.0
2015-11-20,0.00317883,0.0,48.0
2015-11-22,0.00280765,0.0,9.0
2015-11-23,0.00272004,0.0,22.0
2015-11-24,0.00268525,0.0,35.0
2015-11-25,0.00264438,0.0,29.0
2015-11-26,0.00314443,0.0,49.0
2015-11-27,0.00318437,0.0,98.0
2015-11-28,0.0026258,0.0,49.0
2015-11-29,0.00215658,0.0,9.0
2015-11-30,0.00297657,0.0,15.0
2015-12-01,0.00164978,0.0,7.0
2015-12-02,0.00260832,0.0,13.0
2015-12-03,0.00173894,0.0,15.0
2015-12-04,0.00172829,0.0,8.0
2015-12-05,0.00220309,0.0,13.0
2015-12-06,0.00351423,0.0,11.0
2015-12-07,0.00194175,0.0,13.0
2015-12-08,0.00416978,0.0,6.0
2015-12-09,0.00188316,0.0,63.0
2015-12-10,0.00144652,0.0,13.0
2015-12-11,0.00189204,0.0,53.0
2015-12-12,0.00192682,0.0,8.0
2015-12-13,0.00138296,0.0,50.0
2015-12-14,0.0020981,0.0,36.0
2015-12-15,0.00213019,0.0,63.0
2015-12-16,0.00175682,0.0,6.0
2015-12-17,0.00125757,0.0,32.0
2015-12-18,0.00219164,0.0,4.0
2015-12-19,0.00163488,0.0,52.0
2015-12-20,0.00196352,0.0,4.0
2015-12-21,0.00159375,0.0,13.0
2015-12-22,0.00181367,0.0,2.0
2015-12-23,0.00257173,0.0,5.0
2015-12-24,0.00288548,0.0,30.0
2015-12-25,0.00242771,0.0,3.0
2015-12-26,0.00209666,0.0,26.0
2015-12-27,0.00190382,0.0,31.0
2015-12-28,0.00259704,0.0,91.0
2015-12-29,0.0020959,0.0,52.0
2015-12-30,0.0022349,0.0,29.0
2015-12-31,0.00251726,0.0,14.0
2016-01-01,0.00254827,0.0,4.0
2016-01-02,0.00278042,0.0,6.0
2016-01-03,0.00199204,0.0,62.0
2016-01-04,0.00202514,0.0,6.0
2016-01-05,0.00163743,0.0,24.0
2016-01-06,0.00135756,0.0,38.0
2016-01-07,0.00153299,0.0,49.0
2016-01-08,0.00171177,0.0,15.0
2016-01-09,0.00141931,0.0,4.0
2016-01-10,0.00151588,0.0,18.0
2016-01-11,0.00135597,0.0,39.0
2016-01-12,0.00147186,0.0,3.0
2016-01-13,0.00132961,0.0,2.0
2016-01-14,0.00236149,0.0,4.0
