date,prices,market_caps,total_volumes
2015-09-25,0.00528709,72.0,14.0
2015-09-26,0.00483453,66.0,44.0
2015-09-27,0.00482736,66.0,26.0
2015-09-28,0.00493107,34447.0,17.0
2015-09-29,0.0048807,34162.0,18.0
2015-09-30,0.00484928,34008.0,34.0
2015-10-01,0.00517318,36350.0,52.0
2015-10-02,0.00461152,32467.0,24.0
2015-10-03,0.0059519,41987.0,613.0
2015-10-04,0.00599626,42383.0,224.0
2015-10-05,0.00599987,42491.0,32.0
2015-10-06,0.00541226,38403.0,57.0
2015-10-07,0.00535346,38059.0,15.0
2015-10-08,0.00485223,34562.0,32.0
2015-10-09,0.0052023,37126.0,6.0
2015-10-10,0.00493024,35253.0,26.0
2015-10-11,0.00592838,42472.0,35.0
2015-10-12,0.00538087,38623.0,15.0
2015-10-13,0.0052372,37663.0,297.0
2015-10-14,0.00505117,36394.0,33.0
2015-10-15,0.00408919,29520.0,82.0
2015-10-16,0.00547356,39589.0,32.0
2015-10-17,0.00544519,39457.0,98.0
2015-10-18,0.00523812,38029.0,32.0
2015-10-19,0.00553369,40251.0,218.0
2015-10-20,0.00537964,39203.0,60.0
2015-10-21,0.00533052,38918.0,107.0
2015-10-22,0.00547084,40019.0,78.0
2015-10-23,0.00413558,30307.0,126.0
2015-10-24,0.00506997,37225.0,48.0
2015-10-25,0.0059908,44068.0,644.0
2015-10-26,0.0054116,39882.0,27.0
2015-10-27,0.00735136,54278.0,184.0
2015-10-28,0.0106495,78777.0,302.0
2015-10-29,0.00784795,58160.0,22.0
2015-10-30,0.00728901,54117.0,37.0
2015-11-01,0.0063081,46923.0,226.0
2015-11-02,0.00620747,46264.0,89.0
2015-11-03,0.00789685,58963.0,200.0
2015-11-04,0.00786067,58800.0,102.0
2015-11-05,0.00725671,54383.0,223.0
2015-11-06,0.00704429,52888.0,218.0
2015-11-07,0.00670376,50424.0,46.0
2015-11-08,0.00589346,44411.0,128.0
2015-11-09,0.00545068,41149.0,56.0
2015-11-10,0.00509499,38534.0,34.0
2015-11-11,0.00537063,40692.0,51.0
2015-11-12,0.00542645,41189.0,93.0
2015-11-13,0.00578708,44006.0,141.0
2015-11-14,0.00532118,40536.0,30.0
2015-11-15,0.00568839,43414.0,52.0
2015-11-16,0.00506891,38755.0,48.0
2015-11-17,0.00505878,38747.0,59.0
2015-11-18,0.00537634,41253.0,74.0
2015-11-19,0.00558266,42912.0,105.0
2015-11-20,0.00505944,38960.0,60.0
2015-11-21,0.00539384,41609.0,116.0
2015-11-22,0.00525254,40593.0,54.0
2015-11-23,0.00536747,41555.0,27.0
2015-11-24,0.00639562,49602.0,424.0
2015-11-25,0.00700009,54387.0,357.0
2015-11-26,0.00764359,59491.0,666.0
2015-11-27,0.00739836,57683.0,193.0
2015-11-28,0.00720288,56277.0,46.0
2015-11-29,0.00695885,54465.0,81.0
2015-11-30,0.0071739,56247.0,91.0
2015-12-01,0.00751776,59047.0,109.0
2015-12-02,0.00813784,64027.0,44.0
2015-12-03,0.0073503,57933.0,39.0
2015-12-04,0.00799105,63093.0,314.0
2015-12-05,0.00819282,64798.0,35.0
2015-12-06,0.00803834,63684.0,28.0
2015-12-07,0.00789661,62671.0,31.0
2015-12-08,0.0083501,66385.0,185.0
2015-12-09,0.00553135,44050.0,1477.0
2015-12-10,0.00619897,49453.0,1431.0
2015-12-11,0.00745659,59588.0,425.0
2015-12-12,0.00596553,47754.0,106.0
2015-12-13,0.00628758,50418.0,26.0
2015-12-14,0.00614746,49378.0,172.0
2015-12-15,0.00610845,49149.0,46.0
2015-12-16,0.00619596,49938.0,160.0
2015-12-17,0.00606834,48993.0,163.0
2015-12-18,0.00555718,44900.0,165.0
2015-12-19,0.00509414,41267.0,68.0
2015-12-20,0.00460378,37358.0,48.0
2015-12-21,0.00408394,33195.0,73.0
2015-12-22,0.00462771,37678.0,239.0
2015-12-23,0.00432288,35256.0,110.0
2015-12-24,0.00428586,35012.0,107.0
2015-12-25,0.00428083,35029.0,285.0
2015-12-26,0.00390681,32023.0,199.0
2015-12-27,0.00313494,25739.0,139.0
2015-12-28,0.00365974,30098.0,52.0
2015-12-29,0.00380764,31366.0,193.0
2015-12-30,0.00372278,30719.0,89.0
2015-12-31,0.00354334,29285.0,30.0
2016-01-01,0.00338006,27981.0,50.0
2016-01-02,0.0033823,28047.0,8.0
2016-01-03,0.00357747,29714.0,25.0
2016-01-04,0.00347061,28873.0,49.0
2016-01-05,0.00375632,31302.0,277.0
2016-01-06,0.00371155,30980.0,70.0
2016-01-07,0.00441298,36896.0,160.0
2016-01-08,0.00474448,39732.0,579.0
2016-01-09,0.00483192,40531.0,41.0
2016-01-10,0.00454408,38178.0,184.0
2016-01-11,0.00422294,35537.0,115.0
2016-01-12,0.00396763,33443.0,74.0
2016-01-13,0.00416713,35181.0,190.0
2016-01-14,0.00378535,32010.0,125.0
2016-01-15,0.00374827,31747.0,29.0
2016-01-16,0.00422478,35841.0,644.0
2016-01-17,0.00416429,35385.0,509.0
2016-01-18,0.00456231,38830.0,3415.0
2016-01-19,0.00436589,37219.0,562.0
2016-01-20,0.00488488,41709.0,487.0
2016-01-21,0.00600438,51351.0,1425.0
2016-01-22,0.00481494,41245.0,564.0
2016-01-23,0.00463083,39730.0,811.0
2016-01-24,0.00454138,39026.0,1046.0
2016-01-25,0.00450778,38799.0,47.0
2016-01-26,0.00384447,33142.0,130.0
2016-01-27,0.00390791,33742.0,69.0
2016-01-28,0.00406005,35111.0,156.0
2016-01-29,0.00400868,34722.0,109.0
2016-01-30,0.00392165,34022.0,1085.0
2016-01-31,0.00381923,33186.0,57.0
2016-02-01,0.00387962,33764.0,548.0
2016-02-02,0.00381487,33252.0,51.0
2016-02-03,0.00403362,35215.0,123.0
2016-02-04,0.00375567,32839.0,130.0
2016-02-05,0.00393071,34424.0,444.0
2016-02-06,0.00449298,39409.0,1143.0
2016-02-07,0.00413584,36334.0,379.0
2016-02-08,0.00481423,42360.0,943.0
2016-02-09,0.0049923,43995.0,1579.0
2016-02-10,0.00585133,51645.0,1601.0
2016-02-11,0.00534175,47221.0,432.0
2016-02-12,0.00555416,49174.0,305.0
2016-02-13,0.00973356,86310.0,8421.0
2016-02-14,0.0143656,127580.0,2668.0
2016-02-15,0.015956,141926.0,1538.0
2016-02-16,0.0179115,159570.0,11079.0
2016-02-17,0.0156556,139683.0,1250.0
2016-02-18,0.01431,127877.0,945.0
2016-02-19,0.0129052,115498.0,4826.0
2016-02-20,0.0150939,135293.0,3109.0
2016-02-21,0.014247,127898.0,902.0
2016-02-22,0.0128109,115181.0,306.0
2016-02-23,0.0124722,112306.0,461.0
2016-02-24,0.0123459,111337.0,404.0
2016-02-25,0.0122716,110834.0,4559.0
2016-02-26,0.0169692,153497.0,8058.0
