date,prices,market_caps,total_volumes
2016-10-03,0.0195189,11711340.0,164914.0
2016-10-04,0.0165041,9902460.0,56814.0
2016-10-05,0.0195318,11719080.0,61629.0
2016-10-06,0.0176603,10596180.0,85219.0
2016-10-07,0.0161628,9697680.0,42436.0
2016-10-08,0.0173808,10428479.0,36390.0
2016-10-09,0.0160363,9621780.0,34775.0
2016-10-10,0.0156879,9412740.0,60535.0
2016-10-11,0.0145989,8759340.0,37148.0
2016-10-12,0.0135592,8135520.0,20132.0
2016-10-13,0.0131243,7874580.0,7224.0
2016-10-14,0.0145643,8738580.0,7909.0
2016-10-15,0.0136542,8192520.0,3147.0
2016-10-16,0.0134804,8088240.0,7372.0
2016-10-17,0.0132234,7934040.0,11257.0
2016-10-18,0.0136398,8183880.0,14553.0
2016-10-19,0.0139277,8356620.0,10829.0
2016-10-20,0.0147389,8843340.0,7068.0
2016-10-21,0.0138777,8326620.0,10038.0
2016-10-22,0.014464,8678400.0,3988.0
2016-10-23,0.014447,8668200.0,6390.0
2016-10-24,0.0139674,8380440.0,2404.0
2016-10-25,0.0143846,8630760.0,17703.0
2016-10-26,0.0135433,8125980.0,5895.0
2016-10-27,0.012326,7395600.0,12494.0
2016-10-28,0.0107799,6467940.0,6680.0
2016-10-29,0.0107388,6443280.0,9615.0
2016-10-30,0.0118081,7084860.0,2809.0
2016-10-31,0.0118757,7125420.0,1792.0
2016-11-01,0.0110931,6655860.0,5435.0
2016-11-02,0.0116632,6997920.0,8544.0
2016-11-03,0.0111218,6673080.0,1713.0
2016-11-04,0.0115091,6905460.0,664.0
2016-11-05,0.0119455,7167300.0,3805.0
2016-11-06,0.0120402,7224119.0,264.0
2016-11-07,0.0119279,7156740.0,650.0
2016-11-08,0.0119896,7193760.0,657.0
2016-11-09,0.0113535,6812100.0,5454.0
2016-11-10,0.0112327,6739620.0,189.0
2016-11-11,0.00958812,5752872.0,12972.0
2016-11-12,0.0102376,6142560.0,665.0
2016-11-13,0.00870659,5223954.0,1462.0
2016-11-14,0.00886374,5318244.0,13757.0
2016-11-15,0.0101833,6109980.0,7334.0
2016-11-16,0.0105243,6314580.0,1824.0
2016-11-17,0.0114168,6850080.0,929.0
2016-11-18,0.0115323,6919380.0,1659.0
2016-11-19,0.0110492,6629520.0,1003.0
2016-11-20,0.0104189,6251340.0,3404.0
2016-11-21,0.00933751,5602506.0,421.0
2016-11-22,0.0102304,6138240.0,1365.0
2016-11-23,0.0117052,7023120.0,2308.0
2016-11-24,0.0111403,6684180.0,4138.0
2016-11-25,0.0100405,6024300.0,1226.0
2016-11-26,0.00921219,5527314.0,5711.0
