date,prices,market_caps,total_volumes
2017-06-14,1.79,9893868.79,26631.0
2017-06-15,1.78,9872415.78,9078.0
2017-06-16,2.99,16595399.99,42363.0
2017-06-17,3.42,19012809.42,88468.0
2017-06-18,3.98,22133778.98,48335.0
2017-06-19,4.49,25068801.48,97041.0
2017-06-20,4.38,25118651.76,71358.0
2017-06-21,3.23,18544566.96,55606.0
2017-06-22,3.74,21478640.48,27588.0
2017-06-23,3.89,22347863.28,34945.0
2017-06-24,3.51,20164781.52,14495.0
2017-06-25,3.56,20459149.12,33909.0
2017-06-26,3.27,18792533.04,76740.0
2017-06-27,3.74,21495470.48,80896.0
2017-06-28,3.66,21035674.32,85618.0
2017-06-29,3.67,21093148.84,113480.0
2017-06-30,3.88,22315633.76,157068.0
2017-07-01,3.55,20421204.6,101052.0
2017-07-02,3.58,20593778.16,112803.0
2017-07-03,3.41,19636321.32,109510.0
2017-07-04,3.59,20683612.68,118421.0
2017-07-05,3.69,21260126.88,167421.0
2017-07-06,4.43,25656575.36,52692.0
2017-07-07,4.1,23745363.2,40258.0
2017-07-08,4.01,23224123.52,80992.0
2017-07-09,4.14,23995365.48,30185.0
2017-07-10,3.25,18839704.0,43152.0
2017-07-11,3.23,18728696.34,45217.0
2017-07-12,3.09,17916926.22,7419.0
2017-07-13,3.15,18267977.7,14252.0
2017-07-14,3.13,18151990.54,24551.0
2017-07-15,3.28,19025968.0,38927.0
2017-07-16,3.01,17462816.0,74880.0
2017-07-17,3.37,19558132.0,40285.0
2017-07-18,3.62,21009032.0,72237.0
2017-07-19,3.81,22141022.52,27956.0
2017-07-20,3.99,23191045.08,29216.0
2017-07-21,4.0,23249168.0,43546.0
2017-07-22,3.94,22908310.48,102465.0
2017-07-23,3.89,22621485.88,76102.0
2017-07-24,3.84,22330721.28,34742.0
2017-07-25,3.6,20946693.6,30573.0
2017-07-26,3.59,20888508.34,32058.0
2017-07-27,3.53,20539396.78,53537.0
2017-07-28,2.94,17106466.44,52466.0
2017-07-29,2.98,17339207.48,34365.0
2017-07-30,3.0,17461578.0,21031.0
2017-07-31,3.71,21594151.46,79930.0
2017-08-01,3.28,19091325.28,58843.0
2017-08-02,3.78,22001588.28,36217.0
2017-08-03,3.49,20313635.74,21609.0
2017-08-04,3.44,20022609.44,75338.0
2017-08-05,3.34,19440556.84,70700.0
2017-08-06,4.49,26134161.74,58372.0
2017-08-07,4.1,23866206.6,39769.0
2017-08-08,4.23,24673716.9,22976.0
2017-08-09,4.16,24265404.8,66854.0
2017-08-10,4.31,25140359.3,26377.0
2017-08-11,3.61,21057238.3,37555.0
2017-08-12,4.66,27181919.8,73203.0
2017-08-13,4.66,27181919.8,46346.0
2017-08-14,4.36,25432010.8,69380.0
2017-08-15,3.56,20779826.8,12415.0
2017-08-16,4.12,24050623.6,60126.0
2017-08-17,4.13,24108998.9,60241.0
2017-08-18,3.76,21949112.8,48439.0
2017-08-19,3.96,23116618.8,60115.0
2017-08-20,3.86,22571465.8,65408.0
2017-08-21,3.76,21986712.8,34828.0
2017-08-22,3.93,22980792.9,38282.0
2017-08-23,3.66,21438559.8,48056.0
2017-08-24,3.79,22207618.7,59922.0
2017-08-25,3.4,19922402.0,58546.0
2017-08-26,3.42,20073792.6,35275.0
2017-08-27,3.64,21365089.2,27938.0
2017-08-28,3.86,22656385.8,9167.0
2017-08-29,3.93,23067252.9,56063.0
2017-08-30,3.92,23008557.6,55706.0
2017-08-31,3.88,22773776.4,37722.0
2017-09-01,4.2,24652026.0,19113.0
2017-09-02,3.63,21306393.9,22781.0
2017-09-03,3.46,20308573.8,9296.0
2017-09-04,3.44,20191183.2,18900.0
2017-09-05,3.25,19075972.5,51780.0
2017-09-06,3.2,18782496.0,9663.0
2017-09-07,2.5,14673825.0,18970.0
2017-09-08,2.42,14204262.6,17119.0
2017-09-09,2.83,16610769.9,11178.0
2017-09-10,2.8,16434684.0,7826.0
2017-09-11,3.3,19369449.0,41323.0
2017-09-12,2.74,16082512.2,10059.0
2017-09-13,2.64,15495559.2,1724.0
2017-09-14,2.12,12443403.6,7458.0
2017-09-15,2.26,13265137.8,15779.0
2017-09-16,2.49999,14673766.3047,12912.4
2017-09-17,2.72746,16008908.2938,10990.4
2017-09-18,2.88685,16944452.6805,11423.1
2017-09-19,2.8089,16486922.817,12889.9
