date,prices,market_caps,total_volumes
2017-01-14,0.0105929,10682.0,118.0
2017-01-15,0.0219187,22180.0,32.0
2017-01-16,0.0200592,20373.0,345.0
2017-01-17,0.0149821,15262.0,2093.0
2017-01-18,0.0175756,17950.0,64.0
2017-01-19,0.0259692,26597.0,202.0
2017-01-20,0.0260295,26737.0,410.0
2017-01-21,0.0207566,21378.0,34.0
2017-01-22,0.0258146,26653.0,362.0
2017-01-23,0.0258602,518097.0,350.0
2017-01-24,0.025203,505014.0,595.0
2017-01-25,0.0290992,583183.0,4750.0
2017-01-26,0.0404444,810675.0,6529.0
2017-01-27,0.0303225,607878.0,16544.0
2017-01-28,0.0256425,514126.0,6745.0
2017-01-29,0.0333252,668249.0,7290.0
2017-01-30,0.00936739,187864.0,1737.0
2017-01-31,0.0234093,469541.0,2963.0
2017-02-01,0.0249384,500283.0,2536.0
2017-02-02,0.0260845,523352.0,1205.0
2017-02-03,0.0256316,514334.0,405.0
2017-02-04,0.025727,516320.205492,625.0
2017-02-05,0.023502,471731.485944,1119.0
2017-02-06,0.020264,406794.450304,1088.0
2017-02-07,0.027835,558826.120805,1551.0
2017-02-08,0.030904,620566.597648,988.0
2017-02-09,0.024969,501454.724148,486.0
2017-02-10,0.021401,429854.365314,1452.0
2017-02-11,0.021776,437449.46248,1633.0
2017-02-12,0.023432,470782.78610400006,596.0
2017-02-13,0.022886,459872.290984,4413.0
2017-02-14,0.0423349999999999,850800.4834299998,4497.0
2017-02-15,0.021027,422632.838337,5010.0
2017-02-16,0.021535,432903.80576,4664.0
2017-02-17,0.022023,442775.608335,5401.0
2017-02-18,0.023345,469411.03489,4610.0
2017-02-19,0.020724,416771.411232,4589.0
2017-02-20,0.021221,426807.044185,6592.0
2017-02-21,0.021221,426807.044185,6592.0
2017-02-22,0.021221,426807.044185,6592.0
2017-02-23,0.021221,426807.044185,6592.0
2017-02-24,0.020997,422551.564866,7282.0
2017-02-25,0.021087,424420.1155260001,8513.0
2017-02-26,0.020536,413385.408512,3477.0
2017-02-27,0.021225,427309.532025,5267.0
2017-02-28,0.018396,370405.722708,3023.0
2017-03-01,0.014379,289563.597429,4091.0
2017-03-02,0.020901,420959.224026,5060.0
2017-03-03,0.017648,355493.617472,3542.0
2017-03-04,0.010839,218364.043977,2170.0
2017-03-05,0.011093,223510.815888,3244.0
2017-03-06,0.010238,206312.869126,3284.0
2017-03-07,0.015059,303506.76609,4364.0
2017-03-08,0.011633,234489.940698,3189.0
2017-03-09,0.012488,251760.377792,2312.0
2017-03-10,0.010093,203502.898168,3081.0
2017-03-11,0.011755,237047.156975,1854.0
2017-03-12,0.013442,271104.977,3842.0
2017-03-13,0.037559,757614.945911,20345.0
2017-03-14,0.022457,453049.067533,11637.0
2017-03-15,0.015813,319054.251978,8256.0
2017-03-16,0.017146,345980.7153140001,8520.0
2017-03-17,0.023574,475775.607132,3613.0
2017-03-18,0.014491,292498.704823,2346.0
2017-03-19,0.018232,368060.578448,5305.0
2017-03-20,0.024875,502239.6825,4930.0
2017-03-21,0.021616,436498.113408,3517.0
2017-03-22,0.020739,418846.233513,2109.0
2017-03-23,0.017143,346270.42842,1699.0
2017-03-24,0.017697,357508.529262,2622.0
2017-03-25,0.01809,365500.00197,2456.0
2017-03-26,0.0243,491034.2067,4865.0
2017-03-27,0.02073,418953.75606,3657.0
2017-03-28,0.020344,411210.891752,5882.0
2017-03-29,0.018944,382967.660544,3227.0
2017-03-30,0.018686,377804.815658,2850.0
2017-03-31,0.020208,408630.0096,3144.0
2017-04-01,0.020762,419889.940568,3055.0
2017-04-02,0.021311,431047.325098,4605.0
2017-04-03,0.021935,443731.384495,4795.0
2017-04-04,0.025888,523771.685472,3918.0
2017-04-05,0.023501,475540.243894,3965.0
2017-04-06,0.028986,586616.63898,7536.0
2017-04-07,0.024582,497557.649442,4817.0
2017-04-08,0.024845,502947.86928,1895.0
2017-04-09,0.022978,465172.973928,2452.0
2017-04-10,0.020785,420878.41647,3307.0
2017-04-11,0.020751,420248.753976,4727.0
2017-04-12,0.022606,457874.492936,3899.0
2017-04-13,0.024228,490798.564632,4409.0
2017-04-14,0.024527,496929.700459,5435.0
2017-04-15,0.02558,518336.6209,6351.0
2017-04-16,0.031505,638486.914545,9169.0
2017-04-17,0.031523,638938.772833,6373.0
2017-04-18,0.042768,866985.112224,9176.0
2017-04-19,0.043845,888936.373245,8560.0
2017-04-20,0.038697,784672.458162,6066.0
2017-04-21,0.040134,813919.165494,10051.0
2017-04-22,0.045623,925362.321269,8955.0
2017-04-23,0.041706,846034.695198,4493.0
2017-04-24,0.047101,955603.127683,4859.0
2017-04-25,0.049851,1011541.347045,4498.0
2017-04-26,0.042107,854523.921342,4086.0
2017-04-27,0.036459,739999.57284,9173.0
2017-04-28,0.033243,674820.799548,4982.0
2017-04-29,0.035565,722050.73046,2766.0
2017-04-30,0.035617,723204.716531,13987.0
2017-05-01,0.037004,751462.24538,27474.0
2017-05-02,0.033025,670753.3378,19898.0
2017-05-03,0.034427,699329.318519,14006.0
2017-05-04,0.036083,733070.599256,32020.0
2017-05-05,0.035142,714048.435474,17693.0
2017-05-06,0.037511,762286.388436,16262.0
2017-05-07,0.047735,970186.045495,21362.0
2017-05-08,0.04759,967369.44922,16059.0
2017-05-09,0.040419,821720.978073,16804.0
