date,prices,market_caps,total_volumes
2014-11-23,0.000152792,61139.0,111.0
2014-11-24,0.000212175,84900.0,271.0
2014-11-25,0.000208912,83595.0,431.0
2014-11-26,0.000154756,61925.0,700.0
2014-11-27,0.000155219,62110.0,78.0
2014-11-28,0.000136311,54544.0,50.0
2014-11-29,0.000134201,53700.0,7.0
2014-11-30,0.000181048,72445.0,309.0
2014-12-01,0.00015528,62134.0,13.0
2014-12-02,0.000152547,61041.0,21.0
2014-12-03,0.000147334,58955.0,46.0
2014-12-04,0.00014917,59689.0,11.0
2014-12-05,0.000154176,61692.0,70.0
2014-12-06,0.000131602,52660.0,21.0
2014-12-07,0.000191305,76549.0,53.0
2014-12-08,0.000183471,73415.0,105.0
2014-12-09,0.000169895,67982.0,150.0
2014-12-10,0.000156432,62595.0,191.0
2014-12-13,0.000514501,205874.0,4295.0
2014-12-14,0.000400205,160139.0,2209.0
2014-12-15,0.000396386,158611.0,2140.0
2014-12-16,0.000340348,136188.0,1342.0
2014-12-17,0.000407532,163071.0,758.0
2014-12-18,0.000368382,147405.0,502.0
2014-12-19,0.000347838,139185.0,387.0
2014-12-20,0.00030618,122516.0,655.0
2014-12-21,0.000289778,115953.0,394.0
2014-12-22,0.00031903,127668.0,206.0
2014-12-23,0.000450172,180148.0,923.0
2014-12-24,0.000350604,140303.0,986.0
2014-12-25,0.000378249,151367.0,150.0
2014-12-26,0.000362942,145242.0,446.0
2014-12-27,0.000388912,155634.0,407.0
2014-12-28,0.000339425,135831.0,300.0
2014-12-29,0.00038327,153377.0,461.0
2014-12-30,0.000328197,131338.0,626.0
2014-12-31,0.000350892,140420.0,418.0
2015-01-01,0.000334319,133788.0,329.0
2015-01-02,0.000358975,143655.0,203.0
2015-01-03,0.000386385,154624.0,380.0
2015-01-04,0.000342359,137006.0,319.0
2015-01-05,0.000340077,136093.0,441.0
2015-01-06,0.000298309,119378.0,551.0
2015-01-07,0.000329731,131953.0,20.0
2015-01-08,0.00033055,132281.0,138.0
2015-01-10,0.000323253,129360.0,154.0
2015-01-11,0.000303493,121453.0,500.0
2015-01-12,0.000286764,114758.0,607.0
2015-01-13,0.000217914,87206.0,443.0
2015-01-14,0.000213697,85518.0,374.0
2015-01-15,0.000208687,83513.0,60.0
2015-01-16,0.00022159,88677.0,206.0
2015-01-17,0.000219466,87827.0,43.0
2015-01-18,0.00018856,75459.0,180.0
2015-01-19,0.000231047,92462.0,744.0
2015-01-20,0.000233901,93604.0,88.0
2015-01-21,0.000208942,83616.0,65.0
2015-01-22,0.000211893,84797.0,475.0
2015-01-23,0.000222651,89102.0,86.0
