date,prices,market_caps,total_volumes
2014-08-05,0.00962703,165153.0,1461.0
2014-08-06,0.00940013,161831.0,2308.0
2014-08-07,0.00860515,148587.0,1813.0
2014-08-08,0.0113577,196751.0,6813.0
2014-08-09,0.00909222,157775.0,5927.0
2014-08-10,0.00968276,168023.0,1037.0
2014-08-11,0.00957799,166205.0,3008.0
2014-08-12,0.00764439,132651.0,3563.0
2014-08-13,0.00795768,138088.0,1191.0
2014-08-14,0.00779801,135317.0,450.0
2014-08-15,0.00698804,121262.0,1269.0
2014-08-16,0.0071976,124898.0,992.0
2014-08-17,0.00747606,129730.0,2390.0
2014-08-18,0.00650241,112835.0,1016.0
2014-08-19,0.00678403,117722.0,1805.0
2014-08-20,0.00699891,121451.0,1626.0
2014-08-21,0.00781529,135617.0,3292.0
2014-08-22,0.0064995,112784.0,2168.0
2014-08-23,0.00731211,126885.0,3117.0
2014-08-24,0.00763282,132451.0,1539.0
2014-08-25,0.0078955,137009.0,1180.0
2014-08-26,0.00828226,143720.0,11654.0
2014-08-27,0.00812139,140929.0,6071.0
2014-08-28,0.00813318,141133.0,2232.0
2014-08-29,0.00749103,129990.0,2196.0
2014-08-30,0.00716807,124386.0,796.0
2014-08-31,0.00778822,135147.0,842.0
2014-09-01,0.00701639,121754.0,831.0
2014-09-02,0.00715935,124235.0,3771.0
2014-09-03,0.00796526,138219.0,1350.0
2014-09-04,0.00732244,127065.0,981.0
2014-09-05,0.00732517,127112.0,431.0
2014-09-06,0.00782519,135789.0,1134.0
2014-09-07,0.00829987,144026.0,3314.0
2014-09-08,0.00779683,135297.0,2608.0
2014-09-09,0.00780821,135494.0,1782.0
2014-09-10,0.00880357,152767.0,5868.0
2014-09-11,0.00946789,164294.0,8866.0
2014-09-12,0.010618,184252.0,8325.0
2014-09-13,0.0161201,279729.0,42312.0
2014-09-14,0.0142003,246415.0,43460.0
2014-09-15,0.0154748,268531.0,12476.0
2014-09-16,0.0170702,296216.0,45333.0
2014-09-17,0.0146416,254073.0,7594.0
2014-09-18,0.0144776,251227.0,10491.0
2014-09-19,0.0151356,262645.0,13044.0
2014-09-20,0.01432,248492.0,8046.0
2014-09-21,0.0130234,225993.0,5692.0
2014-09-22,0.0151464,262833.0,86673.0
2014-09-23,0.0149851,260034.0,6945.0
2014-09-24,0.0154819,268655.0,63482.0
2014-09-25,0.0138537,240401.0,6971.0
2014-09-26,0.013689,237543.0,118352.0
2014-09-27,0.0135261,234716.0,9439.0
2014-09-28,0.0133689,231988.0,3567.0
2014-09-29,0.0127272,220853.0,5378.0
2014-09-30,0.0126815,220060.0,1600.0
2014-10-01,0.0125612,217972.0,1718.0
2014-10-02,0.0115923,201159.0,3365.0
2014-10-03,0.0114014,197846.0,2048.0
2014-10-04,0.00978493,169796.0,1784.0
2014-10-05,0.00880986,152876.0,2451.0
2014-10-06,0.0114,197822.0,3992.0
2014-10-07,0.011073,192148.0,3621.0
2014-10-08,0.0107477,186503.0,552.0
2014-10-09,0.0112597,195387.0,2273.0
2014-10-10,0.0106017,183969.0,1675.0
2014-10-11,0.0107638,186782.0,1947.0
2014-10-12,0.0101059,175366.0,11236.0
2014-10-13,0.0102989,178715.0,2489.0
2014-10-14,0.0107714,186914.0,9642.0
2014-10-15,0.0101168,175555.0,2555.0
2014-10-16,0.0093255,161823.0,2785.0
2014-10-17,0.00947706,164453.0,1430.0
2014-10-18,0.00914804,158744.0,1716.0
2014-10-19,0.00742318,128813.0,18402.0
2014-10-20,0.0155876,270489.0,42777.0
2014-10-21,0.00935102,162266.0,1151.0
2014-10-22,0.00899277,156050.0,2232.0
2014-10-23,0.00818792,142083.0,1238.0
2014-10-24,0.00834753,144853.0,1769.0
2014-10-25,0.00839744,145719.0,228.0
2014-10-26,0.00898412,155900.0,2220.0
2014-10-27,0.0083206,144386.0,1294.0
2014-10-28,0.00863107,149773.0,1042.0
2014-10-29,0.00833623,144657.0,1232.0
2014-10-30,0.00817228,141812.0,1615.0
2014-10-31,0.00817328,141829.0,794.0
2014-11-01,0.00783759,136004.0,1463.0
2014-11-02,0.00783844,136019.0,844.0
2014-11-03,0.00783996,136045.0,1113.0
2014-11-04,0.0075326,130712.0,537.0
2014-11-05,0.00784188,136078.0,1038.0
2014-11-06,0.00784576,136146.0,1711.0
2014-11-07,0.00783494,135958.0,1212.0
2014-11-08,0.0079967,138765.0,964.0
2014-11-09,0.00815991,141597.0,1223.0
2014-11-10,0.00784155,136073.0,1599.0
2014-11-11,0.00783375,135937.0,408.0
2014-11-12,0.00897714,155778.0,3924.0
2014-11-13,0.00980072,170070.0,12866.0
2014-11-14,0.00928911,161192.0,3352.0
2014-11-15,0.00896883,155634.0,2549.0
2014-11-16,0.00881916,153037.0,1215.0
2014-11-17,0.00786345,136453.0,2655.0
2014-11-18,0.00816791,141736.0,867.0
2014-11-19,0.00842855,146259.0,1366.0
2014-11-20,0.00797575,138401.0,2107.0
2014-11-21,0.0079955,138744.0,660.0
2014-11-22,0.00799657,138763.0,783.0
2014-11-23,0.00799503,138736.0,882.0
2014-11-24,0.00880731,152831.0,10025.0
2014-11-25,0.00912108,158276.0,3491.0
2014-11-26,0.00877441,152261.0,891.0
2014-11-27,0.00912231,158298.0,5590.0
2014-11-28,0.00878127,152380.0,3488.0
2014-11-29,0.00944389,163878.0,1636.0
2014-11-30,0.00895514,155397.0,1280.0
2014-12-01,0.00894555,155230.0,1910.0
2014-12-02,0.00878273,152405.0,1818.0
2014-12-03,0.00829803,143994.0,5657.0
2014-12-04,0.00845581,146732.0,1068.0
2014-12-05,0.00768803,133409.0,3496.0
2014-12-06,0.00780596,135455.0,860.0
2014-12-07,0.00812777,141039.0,816.0
2014-12-08,0.00768764,133402.0,1306.0
2014-12-09,0.00696015,120778.0,4164.0
2014-12-10,0.00711985,123549.0,1189.0
2014-12-13,0.00664111,115242.0,2573.0
2014-12-14,0.00680334,118057.0,647.0
2014-12-15,0.0064752,112363.0,807.0
2014-12-16,0.00615409,106790.0,2011.0
2014-12-17,0.0064697,112267.0,1855.0
2014-12-18,0.00597361,103659.0,2777.0
2014-12-19,0.00676947,117469.0,6706.0
2014-12-20,0.00692894,120236.0,5794.0
2014-12-21,0.00676901,117461.0,1850.0
2014-12-22,0.00709023,123035.0,4224.0
2014-12-23,0.00757128,131383.0,1918.0
2014-12-24,0.00966593,167731.0,75563.0
2014-12-25,0.00839217,145628.0,9685.0
2014-12-26,0.00886671,153862.0,11313.0
2014-12-27,0.00854561,148290.0,5219.0
2014-12-28,0.00870431,151044.0,2169.0
2014-12-29,0.0091848,159382.0,8380.0
2014-12-30,0.0093692,162582.0,11538.0
2014-12-31,0.00904239,156911.0,3005.0
2015-01-01,0.00904123,156891.0,977.0
2015-01-02,0.00855572,148466.0,2263.0
2015-01-03,0.00807274,140085.0,10152.0
2015-01-04,0.00742716,128882.0,8418.0
2015-01-05,0.00773773,134271.0,3196.0
2015-01-06,0.00790385,137154.0,2234.0
2015-01-07,0.00822765,142773.0,3495.0
2015-01-08,0.00774432,134386.0,4487.0
2015-01-10,0.00733524,127287.0,375.0
2015-01-11,0.00710878,123357.0,1931.0
2015-01-12,0.00721622,125221.0,639.0
2015-01-13,0.00581885,100973.0,3492.0
2015-01-14,0.00614925,106707.0,1423.0
2015-01-15,0.005675,98477.0,2509.0
2015-01-16,0.00648171,112476.0,2234.0
2015-01-17,0.00613862,106522.0,623.0
2015-01-18,0.00581427,100894.0,277.0
2015-01-19,0.00664125,115244.0,3645.0
2015-01-20,0.00596623,103531.0,780.0
2015-01-21,0.00629349,109209.0,1186.0
2015-01-22,0.00613581,106473.0,2090.0
2015-01-23,0.00613568,106471.0,1592.0
2015-01-24,0.00628039,108982.0,1391.0
2015-01-25,0.00676015,117307.0,5298.0
2015-01-26,0.00691925,120068.0,5744.0
2015-01-27,0.00625984,108626.0,4523.0
2015-01-28,0.00626279,108677.0,2032.0
2015-01-29,0.00593978,103072.0,1752.0
2015-01-30,0.00610144,105877.0,1021.0
2015-01-31,0.00593757,103033.0,1256.0
2015-02-01,0.00593892,103057.0,371.0
2015-02-02,0.00562098,97540.0,1187.0
2015-02-03,0.00576699,100073.0,940.0
2015-02-04,0.00584621,101448.0,1284.0
2015-02-05,0.00577837,100271.0,1593.0
2015-02-06,0.0056244,97599.0,1876.0
2015-02-07,0.00552925,95948.0,813.0
2015-02-08,0.00514109,89212.0,735.0
2015-02-09,0.0046755,81133.0,2692.0
2015-02-10,0.00497633,86353.0,1772.0
2015-02-11,0.00466164,80892.0,385.0
2015-02-12,0.0048079,83430.0,146.0
2015-02-13,0.00450581,78188.0,309.0
2015-02-14,0.00498478,86500.0,1035.0
2015-02-15,0.00498395,86485.0,508.0
2015-02-16,0.00450179,78118.0,579.0
2015-02-17,0.00449645,78026.0,1192.0
2015-02-18,0.00418308,72588.0,357.0
2015-02-19,0.00369017,64034.0,2127.0
2015-02-20,0.00401687,69704.0,164.0
2015-02-21,0.00400864,69561.0,340.0
2015-02-22,0.00384585,66736.0,276.0
2015-02-23,0.0038499,66806.0,1169.0
2015-02-24,0.00385196,66842.0,138.0
2015-02-25,0.00353088,61270.0,501.0
2015-02-26,0.00384737,66762.0,911.0
2015-02-27,0.00384801,66773.0,888.0
2015-02-28,0.00384222,66673.0,974.0
2015-03-01,0.00368161,63886.0,532.0
2015-03-02,0.00367927,63845.0,646.0
2015-03-03,0.00383992,66633.0,593.0
2015-03-04,0.00383855,66609.0,548.0
2015-03-05,0.00368259,63903.0,492.0
2015-03-06,0.00368581,63959.0,309.0
2015-03-07,0.00384556,66731.0,201.0
2015-03-08,0.00368448,63936.0,275.0
2015-03-09,0.00352385,61148.0,980.0
2015-03-10,0.00388432,67404.0,2657.0
2015-03-11,0.00399262,69283.0,1459.0
2015-03-12,0.00367052,63693.0,997.0
2015-03-13,0.00365801,63476.0,53.0
2015-03-14,0.00368604,63963.0,259.0
2015-03-15,0.00368654,63971.0,598.0
2015-03-16,0.00352742,61210.0,691.0
2015-03-17,0.00336799,58444.0,605.0
2015-03-18,0.00337655,58592.0,631.0
2015-03-19,0.0030743,53347.0,912.0
2015-03-20,0.00323844,56196.0,479.0
